Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Mail_Flag,Excel_Row_Ref
31,3,10936,66862,कुडाळ,Kudal St Depot,भोगवे,Bhogave,,30.8,15:50,16:50,,,,,,,,,,158
31,4,19867,66863,भोगवे,Bhogave,कुडाळ,Kudal St Depot,,26.4,17:00,18:00,,,,,,,,,,159
31,5,10985,66864,कुडाळ,Kudal St Depot,सरंबळ,Sarambal Kadamwadi,,11.5,18:50,19:20,,,,,,,,,,160
31,6,19941,66865,सरंबळ,Sarambal Kadamwadi,कुडाळ,Kudal St Depot,,11.5,19:30,20:00,,,,,,,,,,161
31,7,10977,66866,कुडाळ,Kudal St Depot,निवती,Niwati Bandar,,24,20:10,21:00,,,विश्रांती 18.00-18.50-,138.9,08:25,07:10,,,,162
32,1,19934,66867,निवती,Niwati Bandar,कुडाळ,Kudal St Depot,,24,06:20,07:10,,,,,,,,,,166
32,2,10949,66868,कुडाळ,Kudal St Depot,हिंदेवाडी,Hindewadi,"पणदुर ,डिगस",16,07:20,07:55,Chorgewadi stop / MS stop Reqired,,,,,,,,,167
32,3,19888,66869,हिंदेवाडी,Hindewadi,कुडाळ,Kudal St Depot,"डिगस,पणदुर",16,08:05,08:40,Chorgewadi stop / MS stop Reqired,,,,,,,,,168
32,4,107825,66870,कुडाळ,Kudal St Depot,सोनवडेपार,,,11.1,08:50,09:15,,,,,,,,,,169
32,5,107826,66871,सोनवडेपार,,कुडाळ,Kudal St Depot,,11.1,09:25,09:50,,,,,,,,,,170
32,6,125921,66872,कुडाळ,Kudal St Depot,घोडगे मळेवाड,,मळेवाड,41.7,10:00,11:30,,,,,,,,,,171
32,7,125922,66873,घोडगे मळेवाड,,कुडाळ आगार,Kudal St Depot,,43.2,12:00,13:30,,,विश्रांती 11.30-12.00,163.1,07:35,07:15,,,,172
33/2,1,10979,66874,कुडाळ आगार,Kudal St Depot,पांग्रड,Pangrad,,29.3,13:00,14:00,,,,,,,,,,174
33/2,2,19935,66875,पांग्रड,Pangrad,कुडाळ,Kudal St Depot,,29.3,14:10,15:10,,,,,,,,,,175
33/2,1,10979,66931,कुडाळ आगार,Kudal St Depot,पांग्रड,Pangrad,,29.3,16:40,17:40,,,,,,,,,43,176
33/2,2,19935,66932,पांग्रड,Pangrad,कुडाळ,Kudal St Depot,,27.8,17:50,18:50,,,,,,,,,43,177
33/2,5,107881,66878,कुडाळ,Kudal St Depot,पांग्रड,Pangrad,,27.8,19:20,20:20,,,विश्रांती 15.10-16.40,143.5,08:00,06:10,,,,178
34,1,19935,66879,पांग्रड,Pangrad,कुडाळ,Kudal St Depot,,27.8,06:10,07:10,,,,,,,,,,180
34,2,107881,66880,कुडाळ,Kudal St Depot,पांग्रड,Pangrad,,27.8,07:20,08:20,,,,,,,,,,181
34,3,19935,66881,पांग्रड,Pangrad,कुडाळ,Kudal St Depot,,27.8,08:30,09:30,,,,,,,,,,182
34,4,10962,66882,कुडाळ,Kudal St Depot,केरवडे,Kerawade,,12,10:00,10:30,,,,,,,,,,183
34,5,19914,66883,केरवडे,Kerawade,कुडाळ आगार,Kudal St Depot,,13.5,10:40,11:10,,,,,,,,,,184
34,6,107825,66884,कुडाळ,Kudal St Depot,सोनवडेपार,,,11.1,12:30,13:00,,,,,,,,,,185
34,7,19945,66885,सोनवडेपार,,कुडाळ आगार,Kudal St Depot,,12.6,13:10,13:40,,,विश्रांती 9.30-10.00,132.6,07:55,07:25,,,,186
35,1,10946,66886/1,कुडाळ आगार,Kudal St Depot,नारर वाडोस,,,32.3,14:40,15:50,SC,SAT & SUN,,,,,,,,188
35,2,122637,66887,वाडोस,,निवजे,Nivaje,व्हाया हिर्लाेक मार्ग,17.8,16:00,16:35,SC,SAT & SUN,,,,,,,,189
35,3,122638,66888,निवजे,Nivaje,कुसगाव,Kusgaon,,10.8,16:45,17:10,SC,SAT & SUN,,,,,,,,190
35,4,19925,66889,कुसगाव,Kusgaon,कुडाळ,Kudal St Depot,,22.2,17:20,18:10,SC,SAT & SUN,,,,,,,,191
35,5,125925,66890,कुडाळ,Kudal St Depot,घोडगे दुर्गनगर,Duragnagar,कुपवडे लाडवाडी,53.6,18:40,20:35,,,विश्रांती 18.10-18.40,136.7,06:35,06:15,,,,192
36,1,195926A,66891,घोडगे दुर्गनगर,Duragnagar,कुडाळ,Kudal St Depot,"शालेय, कॉलेज",49.9,06:40,08:35,,,,,,,,SCHOOL,,193
36,2,10977,66892,कुडाळ,Kudal St Depot,निवती,Niwati Bandar,,24,08:45,09:35,,,,,,,,,,194
36,3,19934,66893,निवती,Niwati Bandar,कुडाळ,Kudal St Depot,,24,09:45,10:35,,,,,,,,,,195
36,4,10979,66894,कुडाळ आगार,Kudal St Depot,पांग्रड,Pangrad,,29.3,11:30,12:30,,,,,,,,,,196
36,5,107882,66895,पांग्रड,Pangrad,कुडाळ आगार,Kudal St Depot,,29.3,12:40,13:40,,,विश्रांती 10.35-11.30,156.5,07:25,06:40,,,,197
37,1,65636,66896,कुडाळ आगार,Kudal St Depot,हिन्देवाडी हिर्लाेक,Hindewadi,,21.5,12:10,12:55,,,,,,,,,,199
37,2,65638,66897,हिन्देवाडी हिर्लाेक,Hindewadi,कुडाळ आगार,Kudal St Depot,,21.5,13:05,13:50,,,,,,,,,,200
37,3,10979,66898,कुडाळ आगार,Kudal St Depot,पांग्रड,Pangrad,,29.3,15:00,16:00,,,,,,,,,,201
37,4,19935,66899,पांग्रड,Pangrad,कुडाळ,Kudal St Depot,,27.8,16:10,17:10,,,,,,,,,,202
37,5,125928,66900,कुडाळ,Kudal St Depot,हिर्लाेक,Hirlok,साळगाव माणगाव,42.4,17:20,18:50,,,विश्रांती 13.50-15.00,142.5,07:10,05:15,,,,203
38,1,125929,66901,हिर्लाेक,Hirlok,कुडाळ,Kudal St Depot,"मागणव ,साळगाव",42.4,06:00,07:40,,,,,,,,,,206
38,2,10985,66902,कुडाळ,Kudal St Depot,सरंबळ,Sarambal Kadamwadi,,11.5,08:00,08:25,,,,,,,,,,207
38,3,19941,66903,सरंबळ,Sarambal Kadamwadi,कुडाळ,Kudal St Depot,,11.5,08:35,09:00,,,,,,,,,,208
38,4,148234,66904,कुडाळ,Kudal St Depot,आदोसेवाडी,Adose Khalchi Wadi,भगतवाडी वेतोरे हायसकुल मार्ग,18.3,09:10,09:45,SC,SUN,,,,,,,,209
38,5,148235,66905,आदोसेवाडी,Adose Khalchi Wadi,कुडाळ,Kudal St Depot,भगतवाडी वेतोरे हायसकुल मार्ग,18.3,09:55,10:30,SC,SUN,,,,,,,,210
38,6,126210,66906,कुडाळ,Kudal St Depot,सावंतवाडी,Sawantwadi,,20.7,11:00,11:40,SC,SAT & SUN,,,,,,,,211
38,7,11148,66907,सावंतवाडी,Sawantwadi,कुडाळ आगार,Kudal St Depot,,22.2,11:50,12:30,SC,SAT & SUN,विश्रांती 11.00-12.30,144.9,06:55,06:25,,,,212
39,1,60839,66908,कुडाळ आगार,Kudal St Depot,भोगवे,Bhogave,पाट टपाल,30.2,11:45,12:55,,,,,,,,,,214
39,2,60929,66909,भोगवे,Bhogave,कुडाळ,Kudal St Depot,पाट टपाल,28.7,13:05,14:15,,,,,,,,,,215
39,3,59714,66910,कुडाळ आगार,Kudal St Depot,बामणादेवी कुडाळ,Bamanadevi,तुळसुली खुटवळवाडी,37.3,16:45,18:00,sc,SUN,,,,,,,,216
39,4,107838,66911,कुडाळ,Kudal St Depot,बाव,Bav,,6.4,18:10,18:30,,,,,,,,,,217
39,5,19866,66912,बाव,Bav,कुडाळ,Kudal St Depot,,6.4,18:40,19:00,,,,,,,,,,218
39,6,10965,66913,कुडाळ,Kudal St Depot,किल्लेनिवती,Kille Nivati,,30.8,19:10,20:20,,,विश्रांती 14.15-16.45,139.8,09:15,06:45,,,,219
40,1,19920,66914,किल्लेनिवती,Kille Nivati,कुडाळ,Kudal St Depot,शालेय,30.8,06:05,07:15,,,,,,,,SCHOOL,,221
40,2,107856,66915,कुडाळ,Kudal St Depot,कवठी,Kawathi Ghodakewadi,,16.6,07:25,08:05,,,,,,,,,,222
40,3,107857,66916,कवठी,Kawathi Ghodakewadi,कुडाळ,Kudal St Depot,,16.6,08:15,08:55,,,,,,,,,,223
40,4,107881,66917,कुडाळ,Kudal St Depot,पांग्रड,Pangrad,,27.8,09:10,10:10,,,,,,,,,,224
40,5,19935,66918,पांग्रड,Pangrad,कुडाळ,Kudal St Depot,,27.8,10:20,11:20,,,,,,,,,,225
40,6,107838,66919,कुडाळ,Kudal St Depot,बाव,Bav,,6.4,11:30,11:50,,,,,,,,,,226
40,7,107839,66920,बाव,Bav,कुडाळ आगार,Kudal St Depot,,7.9,12:00,12:20,,,विश्रांती 14.15-16.45,133.9,06:40,06:35,,,,227
41,1,125906,66921,कुडाळ आगार,Kudal St Depot,फुटब्रीज,,मळइर्,40.8,12:30,14:00,,,,,,,,,,229
41,2,126129,66922,फुटब्रीज,,कुडाळ आगार,Kudal St Depot,,40.8,14:10,15:40,,,,,,,,,,230
41,3,10962A,66923/1,कुडाळ आगार,Kudal St Depot,केरवडे,Kerawade,,13.5,16:30,17:00,,,,,,,,,,231
41,4,107836,66924,केरवडे,Kerawade,कुडाळ,Kudal St Depot,,12,17:10,17:40,,,,,,,,,,232
41,5,10941,66925,कुडाळ,Kudal St Depot,फुटब्रीज,,मळइर्,40.1,18:10,19:30,,,विश्रांती 17.40-18.10,147.2,07:40,06:30,,,,233
42,1,19875,66926,फुटब्रीज,,कुडाळ,Kudal St Depot,मळइर्,40.1,06:00,07:20,,,,,,,,,,235
42,2,125480,66927,कुडाळ,Kudal St Depot,रांगणातुळसुली,Rangana Tulsuli,,17.8,07:30,08:10,,,,,,,,,,236
42,3,125481,66928,रांगणातुळसुली,Rangana Tulsuli,कुडाळ,Kudal St Depot,शालेय,17.8,08:20,09:00,,,,,,,,SCHOOL,,237
42,4,10956,66929,कुडाळ,Kudal St Depot,केळुस का.बंदर,Kelus Kalvi Bander,टपाल,28.1,09:10,10:20,,,विश्रांती 11.20 -12.0,,,,,,,238
42,5,19901,66930,केळुस का.बंदर,Kelus Kalvi Bander,कुडाळ,Kudal St Depot,टपाल,23.8,10:30,11:20,,,,127.6,05:45,05:45,,,,239
43,3,107879,66876,कुडाळ आगार,Kudal St Depot,निवती,Niwati Bandar,एमआयडीसी,25.5,17:00,18:00,,,,,,,,,33,241
43,4,19934,66877,निवती,Niwati Bandar,कुडाळ,Kudal St Depot,,24,18:10,19:10,,,विश्रांती 15.50-17.00,,,,,,33,242
43,3,81145,L3409,कुडाळ,Kudal St Depot,कोल्हापुर,Kolhapur,"तरळा ,गगनबावडा",147.4,19:15,23:40,Non Obl,Daily,विश्रांती 18.50 ते 19.15,196.9,07:30,06:55,,,,243
44,,81145,L3409,कोल्हापुर,Kolhapur,विजापुर,Bijapur,"मिरज,अथणी",185.7,23:55,04:20,Non Obl,Daily,6 तासांत डयुटी संपते,185.7,04:55,04:55,,,,245
45,1,144136,L3410,विजापुर,Bijapur,कोल्हापुर,Kolhapur,"अथणी ,मिरज",185.7,18:00,22:45,Non Obl,Daily,6 तासांत डयुटी संपते,185.7,05:15,04:55,,,,247
46,,144136,L3410,कोल्हापुर,Kolhapur,कुडाळ आगार,Kudal St Depot,"गगनबावडा ,तरळा",148.9,22:45,03:00,Non Obl,Daily,6 तासांत डयुटी संपते,148.9,04:50,04:50,,,,249
47,1,10963,66933,कुडाळ आगार,Kudal St Depot,खवणे,Khavane,,23.6,13:00,14:00,,,,,,,,,,251
47,2,19917,66934,खवणे,Khavane,कुडाळ,Kudal St Depot,,22.1,14:10,15:10,,,,,,,,,,252
47,3,10965,66935,कुडाळ,Kudal St Depot,किल्लेनिवती,Kille Nivati,,30.8,15:45,16:55,,,,,,,,,,253
47,4,19920,66936,किल्लेनिवती,Kille Nivati,कुडाळ,Kudal St Depot,,30.8,17:05,18:15,,,,,,,,,,254
47,5,49607A,66937,कुडाळ,Kudal St Depot,निवजे,Nivaje,"केरवडे ,चव्हाटावाडी ,",32.3,19:00,20:10,,,विश्रांती 15.10-15.45,139.6,07:50,06:50,,,,255
48,1,49607AR,66938,निवजे,Nivaje,कुडाळ,Kudal St Depot,चव्हाटावाडी केरवडे,32.3,06:20,07:30,,,,,,,,,,257
48,2,107838,66939,कुडाळ,Kudal St Depot,बाव,Bav,,6.4,07:40,08:00,,,,,,,,,,258
48,3,19866,66940,बाव,Bav,कुडाळ,Kudal St Depot,,6.4,08:10,08:30,,,,,,,,,,259
48,4,125952,66941,कुडाळ,Kudal St Depot,कुसगाव,Kusgaon,आवळेगाव,29.7,08:35,09:45,,,,,,,,,,260
48,5,125953,66942,कुसगाव,Kusgaon,कुडाळ,Kudal St Depot,आवळेगाव,29.7,09:55,11:05,,,,,,,,,,261
48,6,10933A,66943,कुडाळ,Kudal St Depot,बामणादेवी,Bamanadevi School,,16.5,11:20,11:55,,,,,,,,,,262
48,7,108311,66944,बामणादेवी,Bamanadevi School,कुडाळ आगार,Kudal St Depot,,18,12:05,12:40,,,विश्रांती 15.10-15.45,139,06:45,06:40,,,,263
49,1,125901,66945,कुडाळ आगार,Kudal St Depot,घोडगे,Ghotage,सोनवडे पयघ्त,43.3,14:20,15:50,,,,,,,,,,265
49,2,125904,66946,घोडगे,Ghotage,कुडाळ,Kudal St Depot,सोनवडे पासुन,41.7,16:00,17:30,,,,,,,,,,266
49,3,19963,66947,कुडाळ,Kudal St Depot,वोंगुर्ले,Vengurle,दाभोली,25,17:40,18:40,,,,,,,,,,267
49,4,107833,66948,वोंगुर्ले,Vengurle,कुडाळ आगार,Kudal St Depot,दाभोली,26.5,18:50,19:50,,,,,,,,,,268
49,5,10960,66949,कुडाळ आगार,Kudal St Depot,कवठी,Kawathi Ghodakewadi,वस्ती,18.1,20:00,20:50,,,विश्रांती 19.30-20.00,154.6,07:10,07:10,,,,269
50,1,107857,66950,कवठी,Kawathi Ghodakewadi,कुडाळ,Kudal St Depot,,16.6,06:00,06:40,,,,,,,,,,271
50,2,129191,66951,कुडाळ,Kudal St Depot,कोरजाइर्,Korjai,पाट मार्गे,27.2,06:50,07:50,SC,SAT,,,,,,,,272
50,3,129192,66952,कोरजाइर्,Korjai,कुडाळ,Kudal St Depot,पाट मार्गे,27.2,08:00,09:00,SC,SAT,,,,,,,,273
50,1,59718,66782,कुडाळ आगार,Kudal St Depot,बामणादेवी कुडाळ आगार,Bamanadevi,खुटवळवाडी,38.8,09:50,11:00,SC,SAT & SUN,,,,,,,11,274
50/12,4,107856,66790,कुडाळ,Kudal St Depot,कवठी,Kawathi Ghodakewadi,शालेय,16.6,12:10,12:50,sc,daily,,,,,,SCHOOL,,275
50/12,5,19908,66791,कवठी,Kawathi Ghodakewadi,कुडाळ आगार,Kudal St Depot,,18.1,13:00,13:40,Obl,daily,विश्रांती 9.40-11.00,144.5,06:35,06:00,,,,276
51,1,147555,L3429,कुडाळ आगार,Kudal St Depot,पुणे स्टेशन,Pune Rly. Stn.,फोंडा / राधानगरी- / कोल्हापुर-/ कराड 6 KM सातारा 3.7 KM / स्वारगेट-,393.9,06:45,16:30,Non Obl,Daily,विश्रांती 12.25 ते 12.55,393.9,10:30,10:00,,,,278
52,1,147556,L3430,पुणेस्टेशन,Pune Rly. Stn.,कुडाळ आगार,Kudal St Depot,स्वारगेट/ सातारा/ कराड-/ कोल्हापुर-/ राधानगरी,384.2,06:15,15:50,Non Obl,Daily,विश्रांती १२.४५-१३.१५,384.2,10:05,09:35,,,,280
53,1,125526,66955,कुडाळ आगार,Kudal St Depot,केळुस तारादेवी,Kelus Taradevi Mandir,,20.2,06:30,07:10,,,,,,,,,,282
53,2,125527,66956,केळुस तारादेवी,Kelus Taradevi Mandir,कुडाळ,Kudal St Depot,,18.7,07:20,08:00,,,,,,,,,,283
53,3,45353,66957,कुडाळ,Kudal St Depot,पणजी,Panjim,बांदा पत्रादेवी,83.6,08:20,11:00,,,,,,,,,,284
53,4,11081,66958,पणजी,Panjim,कुडाळ आगार,Kudal St Depot,बांदा पत्रादेवी,83.6,11:30,14:10,,,विश्रांती 11.00-11.30,206.1,08:25,07:50,,,,285
55,1,126077,66963,कुडाळ आगार,Kudal St Depot,तळगाव,Talgaon,कसाल,37.3,12:20,13:30,SC,SUN,,,,,,,,286
55,2,98718,66964,तळगाव,Talgaon,कुडाळ,Kudal St Depot,अणाव,22.5,13:40,14:20,SC,SUN,,,,,,,,287
55,3,10962,66965,कुडाळ,Kudal St Depot,केरवडे,Kerawade,,12,14:30,15:00,,,,,,,,,,288
55,4,107836,66966,.केरवडे,Kerawade,कुडाळ,Kudal St Depot,,12,15:10,15:40,,,,,,,,,,289
55,5,10966A,66967,कुडाळ,Kudal St Depot,कोचरा,Kochara Shriramwadi,शालेय,23.5,16:10,17:05,,,,,,,,SCHOOL,,290
55,6,126074A,66968,कोचरा,Kochara Shriramwadi,कुडाळ,Kudal St Depot,,23.5,17:15,18:10,,,,,,,,,,291
55,7,126072,66969,कुडाळ,Kudal St Depot,कर्ली,Karli,देसाइर्वाडा,26.5,18:20,19:20,,,विश्रांती 14.20-16.10,157.3,07:40,07:10,,,,292
56,1,126169,66970,कर्ली,Karli,कुडाळ,Kudal St Depot,देसाइर्वाडा,25,06:20,07:20,,,,,,,,,,294
56,2,10974,66971,कुडाळ,Kudal St Depot,नारर,Narur Mahalaxmi Mandir,,23.5,08:00,09:00,,,,,,,,,,295
56,3,125932,66972,नारर,Narur Mahalaxmi Mandir,कुडाळ रेल्वेस्टे,Kudal Rly. Stn.,,25,09:10,10:15,,,,,,,,,,296
56,4,19952,66973,कुडाळ रेल्वेस्टे,Kudal Rly. Stn.,मालवण,Malvan,"कुडाळ (जुने स्था) ,धामापुर",29.5,10:30,11:30,,,,,,,,,,297
56,5,125389,66974,मालवण,Malvan,कुडाळ आगार,Kudal St Depot,धामापुर कुडाळ (जुने स्था),32.5,12:00,13:10,,,विश्रांती 11.30-12.00,135.5,07:15,06:20,,,,298
57,1,81145,L3401\1,कुडाळ आगार,Kudal St Depot,विजापुर,Bijapur,,333.1,06:15,15:55,Non Obl,Daily,विश्रांती 11.45 ते 12.15,333.1,10:25,09:55,,,,300
58,1,144136,L3402\1,विजापुर,Bijapur,कुडाळ आगार,Kudal St Depot,तळेरे बावडा,333.1,10:00,19:20,Non Obl,Daily,विश्रांती 14.30 ते 15,333.1,09:50,09:15,,,,302
59,1,125924,66975,कुडाळ आगार,Kudal St Depot,घोटगे दुर्गनगर,Ghotage,लाडवाडी,51.4,12:00,13:55,,,,,,,,,,304
59,2,125926A,66976,घोटगे दुर्गनगर,Ghotage,कुडाळ,Kudal St Depot,,49.9,14:05,16:00,,,,,,,,,,305
59,3,107838,66977,कुडाळ,Kudal St Depot,बाव,Bav,,6.4,16:15,16:30,,,,,,,,,,306
59,4,19866,66978,बाव,Bav,कुडाळ,Kudal St Depot,,6.4,16:40,17:05,,,,,,,,,,307
59,5,107917,66979,कुडाळ,Kudal St Depot,खवणे,Khavane,पाट,22.1,17:30,18:30,,,विश्रांती 11.30-12.00,136.2,07:10,06:50,,,,308
60,1,19917,66980,खवणे,Khavane,कुडाळ,Kudal St Depot,पाट एमआयडीसी शालेय,22.1,06:30,07:30,,,,,,,,SCHOOL,,310
60,2,10977,66981,कुडाळ,Kudal St Depot,निवती,Niwati Bandar,,24,07:40,08:40,,,,,,,,,,311
60,3,19934,66982,निवती,Niwati Bandar,कुडाळ,Kudal St Depot,,24,08:50,09:50,,,,,,,,,,312
60,4,126250,66983,कुडाळ,Kudal St Depot,भोगलेवाडी,Bhogalewadi,,11.8,10:00,10:25,SC,SAT & SUN,,,,,,,,313
60,5,122598,66984,भोगलेवाडी,Bhogalewadi,कुडाळ,Kudal St Depot,pandur,14.5,10:35,11:05,SC,SAT & SUN,,,,,,,,314
60,6,10966A,66985,कुडाळ,Kudal St Depot,कोचरा,Kochara Shriramwadi,,23.5,11:30,12:25,,,,,,,,,,315
60,7,126074,66986,कोचरा,Kochara Shriramwadi,कुडाळ आगार,Kudal St Depot,,25,12:35,13:30,,,विश्रांती 11.05-11.30,144.9,07:40,07:25,,,,316
