Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Mail_Flag,Excel_Row_Ref
21,1,10917,M4524,कोल्हापुर,Kolhapur,मालवण,Malvan,फोंडा,161.3,06:15,11:10,,,6 तासांत डयुटी संपते,161.3,05:25,05:25,,,TPL,72
23,1,57711,64803,मालवण,Malvan,खौदा मालवण,Malvan,खौदा,12,08:30,09:00,OBL,SUN,,,,,,,,74
24,1,470,M4521,मालवण,Malvan,कोल्हापुर,Kolhapur,फोंडा,161.3,09:30,14:00,,,कोल्हापुर पयघ्त चालनात,173.3,06:15,05:45,,,,75
25,1,10917,M4522,कोल्हापुर,Kolhapur,मालवण,Malvan,फोंडा,161.3,17:00,21:55,,,कोल्हापुर पासुन चालनात,161.3,,,,,,77
24,1,100963,M4535,मालवण,Malvan,कोल्हापुर,Kolhapur,"फोंडा ,पिराळी",169,14:15,19:25,,,6 तासांत डयुटी संपते,169,05:55,05:55,,,,79
25,1,100967,M4536,कोल्हापुर,Kolhapur,मालवण,Malvan,"फोंडा,पिराळी",169,05:15,10:30,,,6 तासांत डयुटी संपते,169,05:45,05:45,,,TPL,81
26,1,11061,64804,मालवण,Malvan,सर्जेकोट,Sarjekot,,4.9,12:15,12:30,OBL,DAIL,,,,,,,,83
27,2,20193,64805,सर्जेकोट,Sarjekot,मालवण,Malvan,,4.9,12:35,12:50,OBL,DAIL,,,,,,,,84
28,3,40550,M4527,मालवण,Malvan,बेळगाव,Belgaum,"धामापुर (कसाल ) कुडाळ,सावंतवाडी,आंबोली",174.8,13:30,19:10,,,विश्रांती 12.50 ते 13.30,184.6,07:40,07:10,,,,85
29,1,10678,M4528,बेळगाव,Belgaum,मालवण,Malvan,"आंबोली,सावंतवाडी,कुडाळ ,कसाल",174.8,06:15,11:55,,,6 तासांत डयुटी संपते,174.8,06:10,06:10,,,,87
30,1,40549,M4529,मालवण,Malvan,बेळगाव,Belgaum,"कट्टा,पेंडुर,सावंतवाडी",163.2,04:50,09:55,,,6 तासांत डयुटी संपते,163.2,05:35,05:35,,,,89
31,1,10677,M4530,बेळगाव,Belgaum,मालवण,Malvan,"आंबोली,कुडाळ,धामापुर",154.7,11:00,16:00,,,,,,,,,TPL,91
32,2,11015,64806,मालवण,Malvan,देवबाग,Deobag,,12,17:00,17:30,SCL,DAIL,विश्रांती 16.00 ते 17.00,,,,,,,92
33,3,20136,64807,देवबाग,Deobag,मालवण,Malvan,,12,17:35,18:05,OBL,DAIL,,178.7,07:35,06:45,,,,93
34,1,70961,64808,मालवण,Malvan,पणजी,Panjim,"धामापुर ्रकुडाळ,सावंतवाडी,प$ाादेवी (निमआराम)",110.7,06:45,10:15,,,विश्रांती 10.15 ते 13.00,,,,,,,96
35,2,70965,64809,पणजी,Panjim,मालवण,Malvan,"प$ाादेवी,सावंतवाडी,कुडाळ,धामापुर (निमआराम)",110.7,13:00,16:45,,,,221.4,10:45,08:00,,,,97
36,1,11027,64810,मालवण,Malvan,कणकवली,Kankavli,"चौके ,आंबडेास ,असगणी",58.7,06:15,08:15,SCL,DAIL,,,,,,,,99
37,2,20144,64811,कणकवली,Kankavli,मालवण,Malvan,"असगणी ,विरण व",49.3,08:30,10:10,SCL,DAIL,,,,,,,,100
38,3,125494,64812,मालवण,Malvan,कुडाळ,Kudal St Depot,"कट्टा ,पेंडुर",34,11:30,12:30,SCL,DAIL,विश्रांती 10.10 ते 11.30,,,,,,,101
39,4,126013,64813,कुडाळ,Kudal St Depot,मालवण,Malvan,"पेंडुर ,कट्टा",34,12:45,14:00,SCL,DAIL,,176,08:45,07:25,,,,102
40,1,11056,64814,मालवण,Malvan,मसुरेकावा,Masure Kawa,कांदळगाव,22,07:30,08:20,SCL,DAIL,,,,,,,TPL,104
41,2,20188,64815,मसुरे कावा,Masure Kawa,मालवण,Malvan,कांदळगाव,22,08:30,09:20,SCL,DAIL,,,,,,,TPL,105
42,3,135302,64816,मालवण,Malvan,खालची देवली,Khalachi Dewali,वायरी,9,09:30,09:50,SCL,DAIL,,,,,,,,106
43,4,135303,64817,खालची देवली,Khalachi Dewali,मालवण,Malvan,वायरी,9,09:55,10:15,SCL,DAIL,विश्रांती 10.15 ते 14.15,,,,,,,107
44,5,61871,64818,मालवण,Malvan,कणकवली,Kankavli,"आंगणेवाडी ,भरतेश्वर ,असगणी",55.3,14:15,16:00,SCL,DAIL,,,,,,,,108
45,6,60736,64819,कणकवली,Kankavli,मालवण,Malvan,असगणी,49.3,16:30,18:15,SCL,DAIL,,166.6,11:15,06:55,,,,109
46,1,72638,64820,मालवण,Malvan,बांदिवडे,Bandivade,"चिंदर ,त्रिंबक",48,06:30,07:50,SCL,DAIL,,,,,,,,111
47,2,125710,64821,बांदिवडे,Bandivade,मुणगे,Munage Bhagvati Mandir,,27,08:00,08:50,SCL,DAIL,,,,,,,,112
48,3,20099,64822,मुणगे,Munage Bhagvati Mandir,आचरा,Achara,सापळा,9.2,09:05,09:25,SCL,DAIL,,,,,,,,113
49,4,10646,64823,आचरा,Achara,भगवंतगड,Bhagwantgad,"त्रिंबक ,बागवेवाडी",9.2,10:00,10:20,SCL,DAIL,विश्रांती 9.25 ते 10.00,,,,,,,114
50,5,20097,64824,भगवंतगड,Bhagwantgad,आचरा,Achara,,9.2,10:30,10:50,SCL,DAIL,,,,,,,,115
51,6,10648,64825,आचरा,Achara,कुडोपी,Kudopi,,17.4,11:00,11:35,SCL,DAIL,,,,,,,,116
52,7,20098,64826,कुडोपी,Kudopi,आचरा,Achara,,12,11:45,12:10,SCL,DAIL,,,,,,,,117
53,8,150714,64827,आचरा,Achara,मालवण,Malvan,"$ांबिक ,सापळा,,बागवेवाडी अ आचरा",36.4,12:20,13:30,SCL,DAIL,,168.4,07:45,07:10,,,,118
54,1,125491,64828,मालवण,Malvan,कुडाळ रे.स्टे,Kudal Rly. Stn.,"चौके ,धामापुर",29.5,14:00,15:10,RAIL CN,DAIL,,,,,,,,120
55,2,19952,64829,कुडाळ रे.स्टे,Kudal Rly. Stn.,मालवण,Malvan,धामापुर,29.5,15:30,16:30,RAIL CN,DAIL,,,,,,,,121
56,3,125491,64830,मालवण,Malvan,कुडाळ रे.स्टे,Kudal Rly. Stn.,धामापुर,29.5,17:00,18:00,RAIL CN,DAIL,विश्रांती 16.30 ते 17.00,,,,,,,122
57,4,19952,64831,कुडाळ रे.स्टे,Kudal Rly. Stn.,मालवण,Malvan,धामापुर,29.5,18:30,19:30,RAIL CN,DAIL,,,,,,,,123
58,5,121030,64832,मालवण,Malvan,कुडाळ आगार,Kudal St Depot,"धामापुर ,कुडाळ रेल्वेेस्टेशन",32.5,19:45,20:45,RAIL CN,DAIL,,150.5,07:15,05:10,,,,124
59,1,107812,64833,कुडाळ आगार,Kudal St Depot,मालवण,Malvan,"कुडाळ,जुनेस्टाानक ,कुडाळ रे.स्टे ,धामापुर",32.5,06:30,07:30,RAIL CN,DAIL,,,,,,,,126
60,2,125491,64834,मालवण,Malvan,कुडाळ रेल्वे स्टे,Kudal Rly. Stn.,धामापुर,29.5,08:00,09:00,RAIL CN,DAIL,,,,,,,,127
61,3,19952,64835,कुडाळ रेल्वे स्टे,Kudal Rly. Stn.,मालवण,Malvan,धामापुर,29.5,09:30,10:30,RAIL CN,DAIL,,,,,,,,128
62,4,125491,64836,मालवण,Malvan,कुडाळ रेल्वे स्टे,Kudal Rly. Stn.,धामापुर,29.5,11:00,12:00,RAIL CN,DAIL,विश्रांती 10.30 ते 11.00,,,,,,,129
63,5,19952,64837,कुडाळ रेल्वे स्टे,Kudal Rly. Stn.,मालवण,Malvan,धामापुर,29.5,12:30,13:30,RAIL CN,DAIL,,150.5,07:30,06:10,,,,130
64,1,71136,64838,मालवण,Malvan,कणकवली,Kankavli,कसाल,45,12:15,13:30,OBL,DAIL,,,,,,,,131
65,2,71147,64839,कणकवली,Kankavli,मालवण,Malvan,कसाल,45,13:45,15:00,OBL,DAIL,,,,,,,,132
66,3,11043,64840\1,मालवण,Malvan,श्रीरामवाडी(कोचरा),Kochara Shriramwadi,"साळेल ,कट्टा ,पेंडुर,कुडाळ,म्हापण",60.8,16:30,18:50,SCL,DAIL,विश्रांती 15.00 ते 16.30,150.8,07:05,05:40,,,,133
67,1,20182,64841,श्रीरामवाडी(कोचरा),Kochara Shriramwadi,मालवण,Malvan,"म्हापण,कुडाळ,पेंडुर,कट्टा",63.8,06:15,08:20,SCL,DAIL,,,,,,,TPL,135
68,2,125494,64842,मालवण,Malvan,कुडाळ,Kudal St Depot,"कट्टा,पेंडुर",34,08:30,09:45,SCL,DAIL,6 तासांत डयुटी संपते,,,,,,,136
69,3,126013,64843,कुडाळ,Kudal St Depot,मालवण,Malvan,"पेंडुर,कद",34,10:00,11:20,SCL,DAIL,,131.8,05:30,05:25,,,,137
70,1,11026,64844,मालवण,Malvan,कणकवली,Kankavli,"विरण,पोईप असगणी",49.3,11:00,12:30,SCL,DAIL,,,,,,,,139
71,2,60736,64845,कणकवली,Kankavli,मालवण,Malvan,"असगणी,पोईप,विरण",49.3,13:00,14:55,SCL,DAIL,विश्रांती 14.55 ते 16.45,,,,,,,140
72,3,11007,64846,मालवण,Malvan,कुडोपी,Kudopi,"तळाशिल,हिर्लेवाडी,आचरा,सापळा",68,16:45,19:30,SCL,DAIL,,166.6,09:10,07:00,,,,141
73,1,20186,64847,कुडोपी,Kudopi,मालवण,Malvan,"भगवंतगड, सापळा ,चिंदर ,आचरा 07.30,हडी",68,06:00,08:15,SCL,DAIL,,,,,,,,143
74,2,71136,64848,मालवण,Malvan,कणकवली,Kankavli,कसाल,45,08:30,09:50,OBL,DAIL,6 तासांत डयुटी संपते,,,,,,,144
75,3,71147,64849,कणकवली,Kankavli,मालवण,Malvan,कसाल,45,10:30,11:50,OBL,DAIL,,158,06:15,05:30,,,,145
