Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Mail_Flag,Excel_Row_Ref
146,2,71147,64918,कणकवली,Kankavli,मालवण,Malvan,कसाल,45,07:45,09:05,OBL,DAIL,विश्रांती 09.05 ते 10.00,,,,,,,226
147,3,71136,64919,मालवण,Malvan,कणकवली,Kankavli,कसाल,45,10:00,11:20,NOB,DAIL,,,,,,,TPL,227
148,4,71147,64920,कणकवली,Kankavli,मालवण,Malvan,कसाल,45,11:30,12:50,NOB,DAIL,,163,07:15,05:30,,,,228
149,1,11034,64921,मालवण,Malvan,कसाल,Kasal,"पोईप ,हिवाळे",36.9,12:00,13:15,SCH,DAIL,,,,,,,,230
150,2,60809,64922,कसाल,Kasal,मालवण,Malvan,"हिवाळे ,आंगणेवाडी",36.9,13:30,14:45,OBL,DAIL,,,,,,,,231
151,3,11039,64923,मालवण,Malvan,कट्टा,Katta,नवापाट,28.7,15:15,16:15,OPT,DAIL,विश्रांती 14.45 ते 15.15,,,,,,,232
152,4,10901,64924,कट्टा,Katta,मोगरणे,Mogarane,मोगरणे,12,16:30,16:55,SCH,DAIL,,,,,,,,233
153,5,154929,64925,मोगरणे,Mogarane,तिरवडे,Tirawade,कट्टा,18.4,17:05,17:45,SCH,DAIL,,,,,,,,234
154,6,125427,64926,तिरवडे,Tirawade,आंगणेवाडी,Anganewadi,"कट्टा ,नवापाट20",24.9,17:55,18:45,SCH,DAIL,,157.8,07:25,06:45,,,,235
155,1,125430,64927,आंगणेवाडी,Anganewadi,तिरवडे,Tirawade,"नवापाट ,कट्टा",24.9,06:40,08:05,SCH,DAIL,,,,,,,,237
156,2,154930,64928,तिरवडे,Tirawade,मोगरणे,Mogarane,कट्टा,18.4,08:15,08:40,SCH,DAIL,,,,,,,,238
157,3,20108,64929,मोगरणे,Mogarane,कट्टा,Katta,मोगरणे,12,08:50,09:25,SCH,DAIL,,,,,,,,239
158,4,94469,64930,कट्टा,Katta,मसदेतिठा,Masade Titha,गोळवण,13.8,09:30,10:00,SCH,DAIL,,,,,,,TPL,240
159,5,94470,64931,मसदेतिठा,Masade Titha,कट्टा,Katta,गोळवण,13.8,10:05,10:35,SCH,DAIL,,,,,,,TPL,241
160,6,10902,64932,कट्टा,Katta,तिरवडे,Tirawade,,6.4,10:40,10:55,SCH,DAIL,,,,,,,TPL,242
161,7,20109,64933,तिरवडे,Tirawade,कट्टा,Katta,,6.4,11:00,11:15,SCH,DAIL,,,,,,,TPL,243
162,8,10901,64934,कट्टा,Katta,मोगरणे,Mogarane,पोंडुर,12,11:20,11:40,SCH,DAIL,,,,,,,TPL,244
163,9,20108,64935,मोगरणे,Mogarane,कट्टा,Katta,पोंडुर,12,11:45,12:05,SCH,DAIL,,,,,,,TPL,245
164,10,10903,64936,कट्टा,Katta,वराड,Warad Par,सावरवाड,8.4,12:15,12:30,SCH,DAIL,,,,,,,,246
165,11,20218,64937,वराड,Warad Par,मालवण,Malvan,"कटृटा नवापाट,आंगणेवाडी",38.4,12:35,13:50,OPT,DAIL,,166.5,07:35,07:35,,,,247
166,1,125482,64938,मालवण,Malvan,डांगमेाडे,Dangmode,"आंगणेवाडी ,बागायत",37.8,11:45,13:00,SCH,DAIL,,,,,,,,249
167,2,125656,64939,डांगमोडे,Dangmode,मालवण,Malvan,भरतेश्वर,30.2,13:10,14:20,OBL,DAIL,,,,,,,,250
250,3,,64940,मालवण,Malvan,डांगमोडे,Dangmode,"कांदळगाव ,मसुरे",30,16:30,17:30,SCH,DAIL,विश्रांती 14.10 ते 16.30,,,,,,,251
251,4,20129,64941,डांगमोडे,Dangmode,मालवण,Malvan,"मसुरे ,कांदळगाव",27.9,17:40,18:50,SCH,DAIL,,,,,,,,252
170,5,148320,64942,मालवण,Malvan,विरण,Viran,पोईप,21.6,19:50,20:35,SCH,DAIL,,147.5,09:30,07:20,,,,253
171,1,62334,64943,विरण,Viran,कणकवली,Kankavli,"डांगमोडे ,भरतेश्वर ,आंगणेवाडी",62.2,06:30,08:50,SCH,DAIL,,,,,,,,256
172,2,71147,64944,कणकवली,Kankavli,मालवण,Malvan,कसाल,45,09:15,10:45,OBL,DAIL,विश्रांती 10.45 ते 12.20,,,,,,,257
173,3,125468,64945,मालवण,Malvan,देवली,Dewali,चौके,14,12:20,12:50,SCH,DAIL,,,,,,,,258
174,4,125653,64946,देवली,Dewali,मालवण,Malvan,चौके,15,12:55,13:25,OBL,DAIL,,136.2,07:20,05:40,,,,259
175,1,125491,64947,मालवण,Malvan,कुडाळ रेल्वे स्टे,Kudal Rly. Stn.,धामापुर,29.5,10:30,11:30,RAIL CN,DAIL,,,,,,,,261
176,2,19952,64948,कुडाळ रेल्वे स्टे,Kudal Rly. Stn.,मालवण,Malvan,धामापुर,29.5,12:00,13:00,RAIL CN,DAIL,,,,,,,,262
177,3,125467,64949,मालवण,Malvan,आंबेरी,Ganesh Kond,चौके,15.9,13:15,13:50,OPT,DAIL,,,,,,,,263
178,4,20101,64950,आंबेरी,Ganesh Kond,चौके,Chouke,,7.1,13:55,14:10,OBL,DAIL,,,,,,,,264
179,5,10686,64951,चौके,Chouke,देवली,Dewali,,5,16:45,16:55,SCH,DAIL,,,,,,,,265
180,6,20102,64952,देवली,Dewali,चौके,Chouke,,5,17:00,17:10,OBL,DAIL,विश्रांती 14.10 ते 16.45,,,,,,,266
181,7,10685,64953,चौके,Chouke,आंबेरी,Ganesh Kond,,7.1,17:20,17:35,SCH,DAIL,,,,,,,,267
182,8,125646,64954,आंबेरी,Ganesh Kond,मालवण,Malvan,,15.9,17:40,18:15,OPT,DAIL,,,,,,,,268
183,9,11032,64955,मालवण,Malvan,कसाल,Kasal,कसाल,30,19:00,20:00,OBL,DAIL,,145,10:40,07:05,,,,269
184,1,125598,64956,कसाल,Kasal,मालवण,Malvan,कसाल,30,06:00,,SCH,DAIL,,,,,,,,271
185,2,11005,64957,मालवण,Malvan,भगवंतगड,Bhagwantgad,आचरा,30.2,07:20,08:20,OPT,DAIL,,,,,,,,272
186,3,20097,64958,भगवंतगड,Bhagwantgad,आचरा,Achara,,9.2,08:30,08:50,SCH,DAIL,6 तासात डयुटी संपते,,,,,,,273
187,4,69037,64959,आचरा,Achara,कुडोपी,Kudopi,,12,09:00,09:25,OBL,DAIL,,,,,,,,274
188,5,69038,64960,कुडोपी,Kudopi,मालवण,Malvan,हिर्लेवाडी,37.4,09:35,11:25,OPT,DAIL,,118.8,05:55,05:45,,,TPL,275
189,1,11067,64961,मालवण,Malvan,तांबळडेग,Tambaldeg,"पोयरे ,हिंदळे",42.8,11:30,13:00,SCH,DAIL,,,,,,,TPL,277
190,2,20209,64962,तांबळडेग,Tambaldeg,मालवण,Malvan,हिंदळे,38.8,13:10,14:40,OBL,DAIL,विश्रांती 14.40 ते 16.00,,,,,,TPL,278
191,3,11034,64963,मालवण,Malvan,कसाल,Kasal,हिवाळे,36.9,16:00,17:20,SCH,DAIL,,,,,,,,279
192,4,11348,64964,कसाल,Kasal,मसुरेकावा,Masure Kawa,पोईप,26.7,17:30,18:30,OBL,DAIL,,145.2,07:40,06:40,,,,280
193,1,52822,64965,मसुरेकावा,Masure Kawa,कसाल,Kasal,पोईप,26.7,06:00,07:00,SCH,DAIL,,,,,,,,282
194,2,20170,64966,कसाल,Kasal,मालवण,Malvan,हिवाळे,36.9,07:30,08:45,SCH,DAIL,,,,,,,,283
195,3,62057,64967,मालवण,Malvan,श्रीरामवाडी(कोचरा),Kochara Shriramwadi,"परुळे ,पाट,म्हापण",30,09:00,10:10,OBL,DAIL,,,,,,,,284
196,4,62058,64968,श्रीरामवाडी(कोचरा),Kochara Shriramwadi,मालवण,Malvan,"म्हापण,पाट,परुळे",30,10:15,11:45,OBL,DAIL,विश्रांती 07.00 ते 7.30,,,,,,,285
197,5,135302,64969,मालवण,Malvan,खालची देवली,Khalachi Dewali,वायरी,9,12:00,12:20,SCH,DAIL,,,,,,,,286
198,6,135303,64970,खालची देवली,Khalachi Dewali,मालवण,Malvan,वायरी,9,12:25,12:50,OBL,DAIL,,141.6,07:15,06:45,,,,287
199,1,11017,64971,मालवण,Malvan,देवगड,Devgad,"हिर्लेवाडी ,मशवी",58.3,13:00,15:15,SCL,DAIL,,,,,,,,289
200,2,20137,64972,देवगड,Devgad,मालवण,Malvan,"हिंदेवाडी,मुणगे,पोयरे गादववाडी",66.5,15:20,17:30,SCL,DAIL,विश्रांती 17.30 ते 18.00,,,,,,,290
201,3,77132,64973,मालवण,Malvan,बेळणे,Belne,"बागायत ,आंगणेवाडी ,राठीवडे",30,18:00,19:15,SCL,DAIL,,154.8,06:55,06:35,,,,291
202,1,77537,64974,बेळणे,Belne,मालवण,Malvan,मालडी बिळवस जलमंदिर,38,05:30,07:10,SCL,DAIL,,,,,,,,293
203,2,126187,64975,मालवण,Malvan,वेंगुर्ले,Vengurle,"परुळे ,म्हापण",48,08:00,09:35,OBL,DAIL,विश्रांती 9.05 ते 10.00,,,,,,,294
204,3,11279,64976,वेंगुर्ले,Vengurle,मालवण,Malvan,"म्हापण ,परुळे",48,10:00,11:35,OBL,DAIL,,134,06:30,05:35,,,,295
205,1,71136,64977,मालवण,Malvan,कणकवली,Kankavli,कसाल,45,13:00,14:20,OBL,DAIL,,,,,,,,297
206,2,71147,64978,कणकवली,Kankavli,मालवण,Malvan,कसाल ( 15.15-16.35 जुनी वेळ),45,14:45,16:05,OBL,DAIL,,,,,,,TPL,298
207,3,135302,64979,मालवण,Malvan,खालची देवली,Khalachi Dewali,वायरी,9,17:10,17:30,SCH,DAIL,विश्रांती 16.05 ते 17.10,,,,,,,299
208,4,135303,64980,खालची देवली,Khalachi Dewali,मालवण,Malvan,वायरी,9,17:35,17:55,SCH,DAIL,,,,,,,,300
209,5,51085,64981,मालवण,Malvan,मसदेतिठा,Masade Titha,"मसुरे ,वेरली",30,18:05,19:05,SCH,DAIL,,138,06:45,05:45,,,,301
210,1,51086,64982,मसदे तिठा,Masade Titha,मालवण,Malvan,"Jesjueer ,cemegjs बंदिवडे कलम",30,06:00,07:00,SCL,DAIL,,,,,,,,303
211,2,125468,64983,मालवण,Malvan,देवली,Dewali,,14,07:20,07:45,OPT,DAIL,,,,,,,,304
212,3,20102,64984,देवली,Dewali,चौके,Chouke,,5,07:55,08:10,SCL,DAIL,,,,,,,,305
213,4,10684,64985,चौके,Chouke,आंबडोस,Ambdos,,5,08:30,08:45,OBL,DAIL,,,,,,,TPL,306
214,5,20100,64986,आंबडोस,Ambdos,चौके,Chouke,,5,08:50,09:05,SCL,DAIL,,,,,,,TPL,307
215,6,10685,64987,चौके,Chouke,गणेशकोंड आंबेरी,Ganesh Kond,,7.1,09:50,10:05,OBL,DAIL,विश्रांती 10.55 ते 11.30,,,,,,TPL,308
216,7,125646,64988,गणेशकोंड आंबेरी,Ganesh Kond,मालवण,Malvan,,15.9,10:20,10:55,OPT,DAIL,,,,,,,TPL,309
217,8,11056,64989,मालवण,Malvan,मसुरे,Masure Bazar,"कांदळगाव ( ,बांदिवडे,बागवेवाडी)",22,11:30,12:20,SCL,SUN,,,,,,,,310
218,9,20188,64990,मसुरे,Masure Bazar,मालवण,Malvan,,22,12:30,13:20,OBL,SUN,,126,07:45,06:55,,,,311
219,1,11062,64991,मालवण,Malvan,शेलटी,Shelti,साधी,12,11:50,12:20,OBL,DAIL,,,,,,,,313
220,2,20194,64992,शेलटी,Shelti,मालवण,Malvan,साधी,12,12:25,12:50,OBL,DAIL,,,,,,,,314
221,3,125457,64993,मालवण,Malvan,मसुरे,Masure Bazar,"विरण ,पोईप ु (13.00-14.25)",39,13:30,14:55,SCH,DAIL,विश्रांती 12.50 ते 13.30,,,,,,TPL,315
222,4,146366,64994,मसुरे,Masure Bazar,मालवण,Malvan,बागायत (14.35-15.35),26.9,15:05,16:05,OBL,DAIL,,,,,,,TPL,316
223,5,62966,64995,मालवण,Malvan,कणकवली,Kankavli,"मालडी,असगणी",55.3,16:30,18:15,SCH,DAIL,,,,,,,,317
224,6,11322,64996,कणकवली,Kankavli,बागायत,Bagayat,असगणी,36.3,18:30,19:45,OBL,DAIL,,181.5,08:35,07:45,,,,318
225,1,125689,64997,बागायत,Bagayat,मालवण,Malvan,"मिरवेल,आंबडेास ,चौके",28,06:10,07:10,SCH,DAIL,,,,,,,,320
226,2,11024,64998,मालवण,Malvan,कणकवली रे.स्टे.,Kankavli Railway Station,"आंगणेवाडी,बेळणे",49.1,07:15,08:55,RAIL CN,DAIL,,,,,,,,321
227,3,20143,64999,कणकवली रे.स्टे,Kankavli Railway Station,मालवण,Malvan,बेळणे,49.1,09:20,11:10,RAIL CN,DAIL,विश्रांती 11.10 ते 12.00,,,,,,,322
228,4,91153,65000,मालवण,Malvan,निवती,Niwati Bandar,नविन,26.1,12:00,13:00,OBL,DAIL,,,,,,,,323
229,5,91156,65001,निवती,Niwati Bandar,मालवण,Malvan,नविन,26.1,13:10,14:10,OBL,DAIL,,178.4,07:25,06:20,,,,324
230,1,125467,65002,मालवण,Malvan,गणेशकोंड आंबेरी,Ganesh Kond,चौके,15.9,05:30,06:00,OPT,SUN,,,,,,,,326
231,2,20101,65003,गणेशकोंड आंबेरी,Ganesh Kond,चौके,Chouke,,7.1,06:05,06:15,SCL,SUN,,,,,,,,327
232,3,10686,65004,चौके,Chouke,देवली,Dewali,,5,06:20,06:30,OB,SUN,,,,,,,,328
233,4,20140,65005,देवली,Dewali,मालवण,Malvan,चौके,14,06:35,07:05,OPT,SUN,,,,,,,,329
234,5,135302,65006,मालवण,Malvan,खालची देवली,Khalachi Dewali,वायरी,9,07:20,07:40,OBL,SUN,,,,,,,,330
235,6,135303,65007,खालची देवली,Khalachi Dewali,मालवण,Malvan,वायरी,9,07:45,08:05,SCL,SUN,,,,,,,,331
236,7,125475,65008,मालवण,Malvan,डांगमोडे,Dangmode,"पोईप ,वेताळमंदीर",43.4,08:15,09:50,SCL,SUN,,,,,,,TPL,332
237,8,125654,65009,डांगमोडे,Dangmode,मालवण,Malvan,पोईप,35.8,09:55,11:30,OBL,SUN,,139.2,06:45,06:45,,,TPL,333
238,1,11015,65010,मालवण,Malvan,देवबाग,Deobag,साधी,12,05:30,06:10,OBL,DAIL,,,,,,,,335
239,2,20136,65011,देवबाग,Deobag,मालवण,Malvan,साधी,12,06:15,06:55,OBL,DAIL,,,,,,,,336
240,3,11015,65012,मालवण,Malvan,देवबाग,Deobag,साधी,12,07:15,07:55,OBL,DAIL,,,,,,,,337
241,4,20136,65013,देवबाग,Deobag,मालवण,Malvan,साधी,12,08:05,08:45,OBL,DAIL,,,,,,,,338
242,5,11015,65014,मालवण,Malvan,देवबाग,Deobag,साधी,12,09:15,09:55,OBL,DAIL,,,,,,,,339
243,6,20136,65015,देवबाग,Deobag,मालवण,Malvan,साधी,12,10:00,10:40,OBL,DAIL,विश्रांती 11.15 ते 12.15,,,,,,,340
244,7,11015,65016,मालवण,Malvan,देवबाग,Deobag,साधी,12,10:45,11:25,OBL,DAIL,,,,,,,TPL,341
245,8,20136,65017,देवबाग,Deobag,मालवण,Malvan,साधी,12,11:35,12:10,OBL,DAIL,,,,,,,TPL,342
246,9,11015,65018,मालवण,Malvan,देवबाग,Deobag,मिडी,12,12:15,12:55,OBL,DAIL,,,,,,,,343
247,10,20136,65019,देवबाग,Deobag,मालवण,Malvan,मिडी,12,13:00,13:40,OBL,DAIL,,120,08:55,07:50,,,,344
248,1,107981,65020,मालवण,Malvan,पालयेवाडी,Palyewadi,कांदळगाव,26.4,12:30,13:15,SCH,DAIL,,,,,,,,346
249,2,107982,65021,पालयेवाडी,Palyewadi,मालवण,Malvan,"मसुरेकावा ,कांदळगाव",26.4,13:25,14:10,OBL,DAIL,,,,,,,,347
168,3,148975,65022,मालवण,Malvan,कुडाळ,Kudal St Depot,"मालवण बाजारा ,कटृटा, पोंडुर",37,17:15,18:30,SCH,DAIL,विश्रांती 14.20 ते 17.15,,,,,,,348
169,4,125585,65023,कुडाळ,Kudal St Depot,मालवण,Malvan,धामापुर,28.3,18:40,19:40,OBL,DAIL,,,,,,,,349
252,5,71136,65024,मालवण,Malvan,कणकवली,Kankavli,,45,20:00,21:20,OBL,DAIL,,163.1,09:30,06:15,,,,350
253,1,71147,65025,कणकवली,Kankavli,मालवण,Malvan,,45,07:00,08:20,OBL,DAIL,,,,,,,,351
254,2,11060,65026,मालवण,Malvan,साळेल,Salel,,15.9,09:00,09:30,OPT,DAIL,,,,,,,,352
255,3,10687,65027,साळेल,Salel,चौके,Chouke,,6,09:35,09:55,SCH,DAIL,,,,,,,,353
256,4,10686,65028,चौके,Chouke,देवली,Dewali,,5,10:00,10:10,OBL,DAIL,विश्रांती 9.10 ते 9.00,,,,,,,354
257,5,125653,65029,देवली,Dewali,मालवण,Malvan,,14,10:20,10:50,OPT,DAIL,,,,,,,,355
258,6,10998,65030,मालवण,Malvan,आचरा,Achara,,21,11:15,12:15,SCH,DAIL,,,,,,,,356
259,7,62775,65031,आचरा,Achara,मालवण,Malvan,"तोंडवली,तळाशिल",41.7,12:20,13:45,SCH,DAIL,,148.6,07:15,06:15,,,,357
260,1,125491,65032,मालवण,Malvan,कुडाळ रेल्वे स्टे,Kudal Rly. Stn.,धामापुर,29.5,11:30,12:30,RAIL CN,DAIL,,,,,,,,359
261,2,19952,65033,कुडाळ रेल्वे स्टे,Kudal Rly. Stn.,मालवण,Malvan,धामापुर,29.5,13:00,14:00,RAIL CN,DAIL,विश्रांती 14.00 ते 15.00,,,,,,,360
262,3,71136,65034,मालवण,Malvan,कणकवली,Kankavli,कसाल ( वराड बंद ),45,16:00,17:20,OBL,DAIL,,,,,,,,361
263,4,148321,65035,कणकवली,Kankavli,डांगमेाडे,Dangmode,"कसाल ,कट्टा (विरण वस्ती बंद)",56,17:30,19:25,OBL,DAIL,,160,08:40,06:10,,,,362
264,1,125660,65036,डांगमोडे,Dangmode,मालवण,Malvan,"भरतेश्वर, आंगणेवाडी",32.8,05:45,07:05,SCL,DAIL,,,,,,,,364
265,2,125467,65037,मालवण,Malvan,आंबेरी,Ganesh Kond,चौके,15.9,07:30,08:05,OBL,DAIL,,,,,,,,365
266,3,125646,65038,आंबेरी,Ganesh Kond,मालवण,Malvan,चौके,15.9,08:10,08:50,SCL,DAIL,,,,,,,,366
267,4,11008,65039,मालवण,Malvan,भगवंतगड,Bhagwantgad,"मालवण,तळाशिल",43.7,09:00,11:00,SCL,DAIL,,,,,,,TPL,367
268,5,20126,65040,भगवंतगड,Bhagwantgad,मालवण,Malvan,सरळ,29.2,11:10,13:05,SCL,DAIL,,137.5,07:45,07:30,,,TPL,368
269,1,125491,65041,मालवण,Malvan,कुडाळ रेल्वेस्टेशन,Kudal Rly. Stn.,नेररपार मार्गे,29.5,13:00,14:00,RAIL CN,DAIL,,,,,,,,370
270,2,19952,65042,कुडाळ रेल्वेस्टेशन,Kudal Rly. Stn.,मालवण,Malvan,,29.5,14:30,15:30,RAIL CN,DAIL,विश्रांती 15.30 ते 16.30,,,,,,,371
271,3,125491,65043,मालवण,Malvan,कुडाळ रेल्वेस्टेशन,Kudal Rly. Stn.,,29.5,16:30,17:30,RAIL CN,DAIL,,,,,,,,372
272,4,153270,65044,कुडाळ रेल्वेस्टेशन,Kudal Rly. Stn.,आचरा,Achara,रेवंडी बौध्दवाडी हिंर्लेेवाडी,56.5,17:45,20:00,RAIL CN,DAIL,,145,07:40,06:05,,,,373
273,1,153271,65045,आचरा,Achara,कुडाळ,Kudal St Depot,,71.7,05:30,07:50,SCH,DAIL,,,,,,,,375
274,2,62620,65046,कुडाळ,Kudal St Depot,मालवण,Malvan,आेरोस कसाल सुकळवाड कटटा चौके टपाल,53.4,08:00,09:45,OBL,DAIL,विश्रांती 9.45 ते 10.30,,,,,,TPL,376
275,3,11032,65047,मालवण,Malvan,कसाल,Kasal,चौके,30,10:30,11:30,OBL,DAIL,,,,,,,,377
276,4,125598,65048,कसाल,Kasal,मालवण,Malvan,"मालवण,तळाशिल",30,11:45,12:45,OBL,DAIL,,185.1,07:40,07:00,,,,378
270,1,125491,65049,मालवण,Malvan,कुडाळ रेल्वे स्टेशन,Kudal Rly. Stn.,,29.5,12:00,13:00,RAIL CN,DAIL,,,,,,,,382
271,2,154542,65050,कुडाळ रेल्वे स्टेशन,Kudal Rly. Stn.,मालवण,Malvan,व्हाया आंबेरी बावखोल,33,13:15,14:15,RAIL CN,DAIL,,,,,,,,383
264,3,125491,65051,मालवण,Malvan,कुडाळ रेल्वे स्टेशन,Kudal Rly. Stn.,,29.5,15:15,16:15,RAIL CN,DAIL,,,,,,,,384
265,4,154542,65052,कुडाळ रेल्वे स्टेशन,Kudal Rly. Stn.,मालवण,Malvan,व्हाया आंबेरी बावखोल,33,16:30,17:10,RAIL CN,DAIL,विश्रांती 14.15 ते 15.15,,,,,,,385
266,5,126186,65053,मालवण,Malvan,सावंतवाडी,Sawantwadi,,49,18:00,19:40,OBL,DAIL,,174,08:20,06:00,,,,386
267,1,75419,65054,सावंतवाडी,Sawantwadi,मालवण,Malvan,,49,06:30,08:10,OBL,DAIL,,,,,,,,388
268,2,154545,65055,मालवण,Malvan,सावंतवाडी,Sawantwadi,व्हाया आंबेरी बावखोल,53.7,08:30,10:10,NOG,DAIL,,,,,,,,389
269,3,75419,65056,सावंतवाडी,Sawantwadi,मालवण,Malvan,,49,10:20,11:40,NOG,DAIL,,151.7,05:35,05:25,,,,390
272,1,,,मालवण,Malvan,पणजी,Panjim,"धामापुर ्रकुडाळ,सावंतवाडी,प$ाादेवी (निमआराम)",110.7,09:50,13:50,,,विश्रांती 13.50 ते 15.10,,,,,,,392
273,2,,,पणजी,Panjim,मालवण,Malvan,"प$ाादेवी,सावंतवाडी,कुडाळ,धामापुर (निमआराम)",110.7,15:10,19:10,,,,221.4,10:45,08:00,,,,393
24,1,,,मालवण,Malvan,विजापुर,Bijapur,फोंडा,345.3,09:30,19:35,,,कोल्हापुर पयघ्त चालनात,345.3,10:35,09:45,,,,395
25,1,,,विजापुर,Bijapur,मालवण,Malvan,फोंडा,345.3,11:30,21:15,,,कोल्हापुर पासुन चालनात,345.3,10:15,09:30,,,,397
,,,s65061,मालवण,Malvan,पणजी,Panjim,कुडाळ 06.10-06.20,110.7,05:10,08:50,,,,,,,,,,399
,,,s65062,पणजी,Panjim,मालवण,Malvan,कुडाळ 12.05-12.15,110.7,09:25,13:15,,,,221.4,,,,,,400
