Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Old_Route_No,Excel_Row_Ref
36,1,29841,66335,सडेवाडी मोर्वे,Sadewadi Morve,देवगड,Devgad,"मोर्वे, मिठबाव, पाटथर",36,06:05,07:30,SC,DAILY,विश्रांती 10.10 ते 11.00,142.4,7h 50m,6h 00m,शालेय,SCHOOL,125938,227
36,2,10762,66336,देवगड,Devgad,तेलीवाडी,Teliwadi,"जामसंडे,तळेबाजार,बागतळवडे,चांदोशी",27.2,08:00,09:00,OBL,DAILY,,,,,शालेय/टपाल,SCHOOL,125941,228
36,3,29862,66337,तेलीवाडी,Teliwadi,देवगड,Devgad,तळेबाजार,24,09:10,10:10,SC,DAILY,,,,,शालेय,SCHOOL,125830,229
36,4,10728,66338,देवगड,Devgad,मिठबांव,Mithbav,"मिठमुंबरी, कुणकेश्वर",27.6,11:00,12:00,SC,DAILY,,,,,,,128549,230
36,5,29834,66339,मिठबांव,Mithbav,देवगड,Devgad,"कुणकेश्वर, मिठमुंबरी",27.6,12:30,13:30,SC,DAILY,,,,,,,128551,231
37,1,10759,66340,देवगड,Devgad,तरळे,Tarle,"नाडण, पाडगाव, फणसगाव",57.1,11:45,13:45,SC,DAILY,विश्रांती 16.10 ते 17.10,189.3,8h 25m,7h 20m,बंधनकारक,,125945,232
37,2,29860,66341,तरळे,Tarle,देवगड,Devgad,"फणसगाव, मणचे, मुटाट, नाडण",65.7,14:00,16:10,SC,DAILY,,,,,बंधनकारक,,125948,233
37,3,125949,66342,देवगड,Devgad,मालपे कोर्ले,Malpe Korle,"पडेलगाव, सौदाळे, वाघोटन, मालपे, पोंभुर्ले",66.5,17:10,19:30,SC,DAILY,,,,,शालेय,,125949,234
38,1,125958,66343,कोर्ले मालपे,Korle Malpe,देवगड,Devgad,"मालपे, पाळेकरवाडी, मुटाट, वाघोटन,  सौदाळे, पडेलगाव,",70.8,05:15,07:40,SC,DAILY,6 तासांत ड्युटी संपते,141,5h 40m,5h 30m,शालेय,SCHOOL,125958,236
38,2,10756,66344,देवगड,Devgad,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,"दाभोळे, कुपलवाडी, दहिबाव, धनगरवाडी",36.6,08:00,09:15,SC-TPL,DAILY,,,,,शालेय/टपाल,SCHOOL,125959,237
38,3,29857,66345,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,देवगड,Devgad,"कुणकेश्वर, इळयेसडा",33.6,09:25,10:30,SC-TPL,DAILY,,,,,शालेय/टपाल,SCHOOL,125960,238
39,1,19174,66346,देवगड,Devgad,कणकवली,Kankavali,"नांदगाव,",53.3,10:40,12:10,NON,DAILY,विश्रांती 14.00 ते 15.15,197.6,9h 10m,7h 00m,इतर,,67514,240
39,2,125746,66347,कणकवली,Kankavali,देवगड,Devgad,"नांदगाव,",53.3,12:30,14:00,NON,DAILY,,,,,इतर,,67513,241
39,3,10724,66348,देवगड,Devgad,लिंगडाळगाव,Lingdalgaon,"कालवी हनुमान मंदिर, टेबवली, तळेबजार, वरेरी",33,15:15,16:15,SC,SAT-SUN,,,,,शालेय,SCHOOL,125814,242
39,4,29831,66349,लिंगडाळगाव,Lingdalgaon,देवगड,Devgad,"वरेरी, तळेबजार, टेबवली, कालवी",30,16:25,17:25,SC,SAT-SUN,,,,,शालेय,,125815,243
39,5,10705,66350,देवगड,Devgad,वानिवडे,Wanivade,"नाडन, मोंड (विरवाडी पूल चालू  12 किमी कमी)",28,18:10,19:10,OBL,DAILY,,,,,बंधनकारक,,125961,244
40,1,51930,66351,वानिवडे,Wanivade,देवगड,Devgad,,40.5,06:00,07:30,SC,DAILY,विश्रांती 7.30 ते 08.00,161.5,7h 15m,6h 45m,शालेय,SCHOOL,125972,248
40,2,10712,66352,देवगड,Devgad,केळेवाडी,Kelyewadi,,25,08:00,08:50,OBL,DAILY,,,,,शालेय,,125789,249
40,3,81469,66353,केळेवाडी,Kelyewadi,नाडण दवाखाना,Nadan Dispensary,,13,09:00,09:30,SC,SAT-SUN,,,,,शालेय,,125792,250
40,4,81470,66354,नाडण दवाखाना,Nadan Dispensary,कळंबई,Kalambai,,12,09:40,10:05,SC,SAT-SUN,,,,,शालेय,,125794,251
40,5,29820,66355,कळंबई,Kalambai,देवगड,Devgad,,27,10:15,11:10,SC,DAILY,,,,,शालेय,,125791,252
40,6,1179018,66356,देवगड,Devgad,कुणकेश्वर,Kunkeshwar,"इळये सडा,मिठमुंबरी",22,11:20,12:00,,,,,,,,SCHOOL,,253
40,7,1179019,66357,कुणकेश्वर,Kunkeshwar,देवगड,Devgad,"मिठमुंबरी,",22,12:10,12:50,,,,,,,,SCHOOL,,254
41,1,19174,66358,देवगड,Devgad,कणकवली,Kankavali,नांदगाव,53.3,09:30,11:00,NON,DAILY,विश्रांती 13.15 ते 16.35,160.6,9h 40m,6h 35m,इतर,,125745,256
41,2,125746,66359,कणकवली,Kankavali,देवगड,Devgad,नांदगाव,53.3,11:45,13:15,NON,DAILY,,,,,इतर,,125746,257
41,3,61210,66360,देवगड,Devgad,गोवळ,Goval,"तळेबाजार, ताम्हाणेतेलीवाडी, बापार्डे, पेंढरी",54,16:35,18:30,SC,DAILY,,,,,बंधनकारक,,125978,258
42,1,61211,66361,गोवळ,Goval,देवगड,Devgad,"156- 138(कोलंबा पूल चालू झाल्याने)मोंड, नाडन (विरवाडी पूल चालू 12 किमी कमी)",33,05:30,06:35,SC,DAILY,6 तासांत ड्युटी संपते,138,6h 40m,5h 30m,शालेय,SCHOOL,125983,260
42,2,125984,66362,देवगड,Devgad,मालवण,Malvan,मशवी  आचरा (आंगणेवाडी कमी केल्याने 28 किमी  12.02.20),50,07:45,09:35,OBL,DAILY,,,,,बंधनकारक,,125984,261
42,3,125985,66363,मालवण,Malvan,देवगड,Devgad,"पोयरे, मुणगे, हिंदळे (आंगणेवाडी कमी केल्याने 28 किमी ते 12.02.20)",55,09:45,11:45,OBL,DAILY,,,,,बंधनकारक,,125985,262
43,1,10758,66364,देवगड,Devgad,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,"तळेबाजार, लिंगडाळगाव, मिठबाव",41,08:20,09:45,NON,SAT-SUN,,,,,ऑपरेशनल टपाल,,125908,264
43,2,29931,66365,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,फोंडा,Fonda,"मिठबाव, लिंगडाळगाव, शिरगाव",60.4,09:55,11:55,NON,SAT-SUN,,,,,टपाल,,125986,265
43,3,11091,66366,फोंडा,Fonda,खडकदरा,Khadakdara,"घोणसरी, कुर्ली",15,12:35,13:05,SC,SAT-SUN,,,,,शालेय,,125987,266
43,4,125722,66367,खडकदरा,Khadakdara,फोंडा,Fonda,"कुर्ली, घोणसरी",15,13:15,13:45,SC,SAT-SUN,,,,,शालेय,,125988,267
43,5,11090,66368,फोंडा,Fonda,कातवण,Katvan,"नांदगाव, लिंगडाळगाव, मिठबाव, तांबाळडेग",70.7,15:00,17:20,SC,SAT-SUN,,,,,शालेय,,125989,268
43,6,29819,66369,कातवण,Katvan,देवगड,Devgad,"मिठबाव, लिंगडाळगाव, वरेरी, तळेबाजार",36.3,17:30,18:45,SC,SAT-SUN,,238.40000000000003,11h 05m,9h 10m,शालेय,SCHOOL,125990,269
44,1,29925,66370,देवगड,Devgad,कणकवली,Kankavali,"वरेरी, कामते, खुडी, बिडवाडी",62.4,06:00,08:45,SC,DAILY,विश्रांती 11.10 ते 12.00,174.3,10h 00m,8h 00m,बंधनकारक,,125991,271
44,2,125857,66371,कणकवली,Kankavali,शिवडाव Thalkarwadi,Shivdav Thalkarwadi,मांजरवाडी,15,09:40,10:15,SC,SAT-SUN,,,,,शालेय,,125857,272
44,3,125858,66372,Thalkarwadi शिवडाव,Thalkarwadi Shivdav,कणकवली,Kankavali,,15,10:40,11:10,SC,SAT-SUN,,,,,शालेय,,125858,273
44,4,69611,66373,कणकवली,Kankavali,देवगड,Devgad,"रामगड, कामते, किंजवडे, दाभोळे",81.9,12:00,15:15,OBL,DAILY,,,,,बंधनकारक,,97718,274
45,1,89248,66374\1,देवगड,Devgad,नाटे रत्नागिरी,Nate Ratnagiri,"पडेलगाव, कात्रादेवी, व्हाया डोंगर तिटा",115.7,06:45,10:05,NON,DAILY,विश्रांती 10.05 ते 11.15,231.4,8h 35m,7h 35m,इतर,,149196,275
45,2,89243,66375,रत्नागिरी नाटे,Ratnagiri Nate,देवगड,Devgad,"नाटे डोंगर तिटा  कात्रादेवी, पडेलगाव",115.7,11:15,14:35,NON,DAILY,,,,,इतर,,149201,276
46,1,117418,66376,देवगड,Devgad,सावंतवाडी,Sawantwadi,"नांदगाव, कणकवली, कुडाळ",109.4,06:45,10:00,NON,DAILY,विश्रांती 10.00 ते 11.15,218.8,8h 50m,7h 35m,इतर,,125659,278
46,2,125658,66377,सावंतवाडी,Sawantwadi,देवगड,Devgad,"कुडाळ, कणकवली, नांदगाव",109.4,11:15,14:50,NON,DAILY,,,,,इतर,,125658,279
47,1,126016,66378\1,देवगड,Devgad,कणकवली,Kankavali,"Keg[er, कामते, रामगड",64.4,12:00,14:30,OPT-SC,DAILY,विश्रांती 14.30 ते 15.10,171.3,8h 15m,7h 10m,,,126016,281
47,2,149491,66379,कणकवली,Kankavali,रेंबवली,Rembavali,"तरदळे, कुवळे",18.8,15:10,15:50,SC,SAT-SUN,,,,,शालेय,SCHOOL,60231,282
47,3,149492,66380,रेंबवली,Rembavali,कणकवली,Kankavali,"कुवळे, तरदळे",18.8,16:00,16:50,SC,SAT-SUN,,,,,शालेय,,60232,283
47,4,126011,66381,कणकवली,Kankavali,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,"Jemleer, नांदगाव, लिंगडाळगाव",69.3,17:15,19:35,SC,DAILY,,,,,बंधनकारक,,126011,284
48,1,126012,66382,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,कणकवली,Kankavali,"jsuJes ⁇mšs. लिंगडाळगाव, नांदगाव",67.3,06:00,08:20,SC,DAILY,6 तासांत ड्युटी संपते,135.7,5h 10m,4h 55m,शालेय,,126012,286
48,2,126017,66383,कणकवली,Kankavali,देवगड,Devgad,"jeceie[,Deejs, बुधवळे",68.4,08:45,10:45,SC,DAILY,,,,,बंधनकारक,,126017,287
49,1,19176,66387,देवगड,Devgad,कणकवली,Kankavali,"नारीन्ग्रे, खुडी, बुधवळे, निरोम, आरे",71.4,14:15,16:45,NON,DAILY,6 तासांत ड्युटी संपते,139.8,5h 50m,5h 45m,बंधनकारक,,125838,289
49,2,10824,66388,कणकवली,Kankavali,देवगड,Devgad,"सांडवे, बुधवळे, खुडी, किंजवडे, तळेबाजार, टेंबवली",68.4,17:00,19:20,NON,DAILY,,,,,बंधनकारक,,125841,290
50,1,10752,66389,देवगड,Devgad,तळेबाजार,Talebazar,"नाडण, मोंड, वानिवडे(विरवाडी पूल चालू केल्याने 12 किमी कमी)",33.9,08:00,09:20,SC,DAILY,विश्रांती 14.15 ते 16.15,160.8,11h 45m,7h 10m,शालेय/टपाल,,125969,292
50,2,29850,66390,तळेबाजार,Talebazar,देवगड,Devgad,"वानिवडे, मोंड, नाडण  (विरवाडी पूल चालू केल्याने 12 किमी कमी)",33.9,09:30,10:50,SC,DAILY,,,,,शालेय/टपाल,,125970,293
50,3,52016,66391,देवगड,Devgad,पाटथर,Patthar,खाकशी,12,13:25,13:45,SC,SAT-SUN,,,,,शालेय,SCHOOL,125747,294
50,4,52017,66392,पाटथर,Patthar,देवगड,Devgad,खाकशी,12,13:55,14:15,SC,SAT-SUN,,,,,शालेय,,125748,295
50,5,10729,66393,देवगड,Devgad,मोर्वे,Morve,,34.5,16:15,17:35,SC,DAILY,,,,,शालेय,,125973,296
50,6,29835,66394,मोर्वे,Morve,देवगड,Devgad,,34.5,17:45,19:05,SC,DAILY,,,,,शालेय,,125974,297
51,1,127809,66395,देवगड,Devgad,कट्टा,Katta,,6.3,07:00,07:10,NON,DAILY,विश्रांती 7.30 ते 8.30,168.79999999999998,11h 50m,10h 20m,,,127435,299
51,,125837,66396,कट्टा,Katta,देवगड,Devgad,,6.3,07:20,07:30,,,,,,,,,,300
51,3,37747,M4547,देवगड,Devgad,रत्नागिरी रहाटघर,Ratnagiri Rahatghar,",जामसंडे,तरळे",156.2,08:30,13:35,NON,DAILY,,,,,TAPAL,,37747,301
52,1,11096,M4548,रहाटघर रत्नागिरी,Rahatghar Ratnagiri,देवगड,Devgad,"⁇À¦¶ãããäØãÀãè -14.50-15.00 तरळे,नांदगाव तिठा",156.2,15:00,19:40,NON,DAILY,6 तासांत ड्युटी संपते,156.2,6h 45m,6h 45m,,,11096,303
53,1,37747,M4545,देवगड,Devgad,रत्नागिरी रहाटघर,Ratnagiri Rahatghar,"जामसंडे,तरळे",156.2,05:00,09:50,NON,DAILY,6 तासांत ड्युटी संपते,156.2,5h 35m,5h 35m,,,37747,305
54,1,11096,M4546,रत्नागिरी रहाटघर,Ratnagiri Rahatghar,देवगड,Devgad,"⁇À¦¶ãããäØãÀãè -12.20-12.30 तरळे,नांदगाव तिठा",156.2,12:15,17:10,NON,DAILY,6 तासांत ड्युटी संपते,156.2,5h 25m,5h 25m,,,11096,307
55,1,127685,M4549,देवगड,Devgad,सांगली,Sangli,"नांदगाव तिठा,तरळे 14.10-14.20 राधानगरी,कोल्हापूर",198.2,12:30,17:50,NON,DAILY,6 तासांत ड्युटी संपते,198.2,6h 05m,6h 05m,,,127685,308
56,1,127691,M4550,सांगली,Sangli,देवगड,Devgad,"कोल्हापूर  राधानगरी,नांदगाव तिठा",198.2,07:30,12:45,NON,DAILY,6 तासांत ड्युटी संपते,198.2,5h 45m,5h 45m,,,127691,310
57,1,401,M4551,देवगड,Devgad,बेळगांव,Belgaum,"नांदगाव तिठा,कसाल,ओरोस स्थानक,कुडाळ,सावंतवाडी,आंबोली",212.4,07:15,14:00,NON,DAILY,विश्रांती 10.35 ते 11.05,212.4,7h 30m,7h 00m,,,401,312
58,1,10675,M4552,बेळगांव,Belgaum,देवगड,Devgad,"आंबोली,सावंतवाडी,ओरोस स्थानक,कसाल,नांदगाव तिठा",212.4,07:15,14:05,NON,DAILY,विश्रांती 10.10-10.45,212.4,7h 20m,7h 00m,,,10675,314
59,1,401,M4553,देवगड,Devgad,बेळगांव,Belgaum,"नांदगाव तिठा,कसाल,ओरोस स्थानक,कुडाळ,सावंतवाडी,आंबोली",212.4,13:30,19:55,NON,DAILY,विश्रांती 16.50 ते 17.20,212.4,7h 15m,6h 45m,,,401,315
60,1,10675,M4554,बेळगांव,Belgaum,देवगड,Devgad,"आंबोली,सावंतवाडी,ओरोस स्थानक,कसाल,नांदगाव तिठा",212.4,05:30,11:50,NON,DAILY,विश्रांती 10.20 ते 10.50,212.4,6h 50m,6h 20m,,,10675,317
61,1,401,M4543,देवगड,Devgad,बेळगाव,Belgaum,"नांदगाव तिठा,कसाल,ओरोस स्थानक,कुडाळ,सावंतवाडी,आंबोली",212.4,11:50,18:45,NON,DAILY,,212.4,7h 40m,7h 15m,TAPAL,,401,319
62,1,10675,M4544,बेळगाव,Belgaum,देवगड,Devgad,"आंबोली,सावंतवाडी,ओरोस स्थानक,कसाल,नांदगाव तिठा",212.4,06:45,13:20,NON,DAILY,,212.4,7h 20m,7h 10m,,,10675,321
63,1,37748,M4557,देवगड,Devgad,पणजी,Panjim,"नांदगाव तिठा,कसाल,सिंधुदुर्गनगरी,कुडाळ,सावंतवाडी,बांदा,दोडामार्ग",184,11:30,17:25,NON,DAILY,,184,6h 40m,6h 40m,,,37748,323
64,1,11079,M4558,पणजी,Panjim,देवगड,Devgad,"दोडामार्ग,बांदा,सावंतवाडी,ओरोस स्थानक,कसाल,नांदगाव तिठा",180.7,06:45,12:35,NON,DAILY,,180.7,6h 20m,6h 10m,,,11079,325
65,1,37748,M4555,देवगड,Devgad,पणजी,Panjim,"नांदगाव तिठा,कसाल,सिंधुदुर्गनगरी,कुडाळ,सावंतवाडी,बांदा,दोडामार्ग",184,06:00,11:55,NON,DAILY,,184,6h 40m,6h 30m,,,37748,327
66,1,11080,M4556,पणजी,Panjim,देवगड,Devgad,"दोडामार्ग,बांदा,सावंतवाडी,सिंधुदुर्गनगरी कसाल,नांदगाव तिठा",184,13:30,19:50,NON,DAILY,,184,6h 50m,6h 15m,,,11080,329
67,1,125754,66397,देवगड,Devgad,गणेशनगर,Ganeshnagar,जामसंडे दाभोळे,12.2,06:50,07:20,NON,DAILY,,159.5,5h 30m,5h 30m,,,125754,331
67,2,125755,66398,गणेशनगर,Ganeshnagar,देवगड,Devgad,दाभोळे जामसंडे,12.2,07:30,08:00,NON,DAILY,,,,,,SCHOOL,125755,332
67,3,75519,L3447\1,देवगड,Devgad,कोल्हापूर [पुणे],Kolhapur [Pune],,135.1,08:10,11:35,NON,DAILY,,,,,,,75519,333
68,,,L,कोल्हापूर [पुणे],Kolhapur [Pune],वल्लभनगर,Vallabhnagar,,264.4,11:50,18:00,NON,DAILY,KRD 6km STR 3.7km add,264.4,6h 40m,6h 20m,,,75519,334
69,1,,L,वल्लभनगर,Vallabhnagar,कोल्हापूर [पुणे],Kolhapur [Pune],,254.7,05:45,11:55,NON,DAILY,,254.7,6h 40m,6h 35m,,,75696,336
70,,,L3448,कोल्हापूर [पुणे],Kolhapur [Pune],देवगड,Devgad,,135.1,12:10,16:05,NON,DAILY,,135.1,6h 55m,6h 35m,,,75696,338
71,1,75519,L3445,देवगड,Devgad,कोल्हापूर [पुणे],Kolhapur [Pune],,135.1,17:30,21:15,NON,DAILY,,135.1,5h 00m,4h 30m,,,75519,340
72,,,L3445,कोल्हापूर [पुणे],Kolhapur [Pune],वल्लभनगर,Vallabhnagar,,264.4,21:30,03:25,NON,DAILY,KRD 6km STR 3.7km add,264.4,6h 25m,6h 25m,,,75519,342
73,1,75696,L3446,वल्लभनगर,Vallabhnagar,कोल्हापूर [पुणे],Kolhapur [Pune],,254.7,20:00,02:20,NON,DAILY,,254.7,6h 50m,6h 50m,,,75696,344
74,,,L3446,कोल्हापूर [पुणे],Kolhapur [Pune],देवगड,Devgad,,135.1,02:35,06:00,NON,DAILY,,135.1,5h 45m,4h 55m,,,75696,346
75\1,1,107604,L3455\1,देवगड,Devgad,मिरज,Miraj,9.00 vithai bus alyane bandar km kami 5.2,193.7,06:45,12:15,NON,DAILY,,193.7,6h 15m,6h 15m,,,107604,348
76,,,L3455\1,मिरज,Miraj,अक्कलकोट,Akkalkot,मंदिर,241.4,12:35,18:25,NON,DAILY,,241.4,6h 20m,6h 20m,,,107604,350
77,1,107596,L3456,अक्कलकोट,Akkalkot,मिरज,Miraj,,241.4,08:30,14:25,NON,DAILY,,241.4,6h 25m,6h 25m,,,107596,352
78,,,L3456,मिरज,Miraj,देवगड,Devgad,21.15 ला देवगड लायेते,193.7,14:45,20:10,NON,DAILY,,193.7,5h 55m,5h 30m,,,107596,354
79,1,149178,66399,देवगड,Devgad,वानिवडे ग्रा.पं.,Wanivade Gram Panchayat,8.15-09.05 वेळ बदली शाळेमुळे,25,06:15,07:05,NON,SUN,,246.7,9h 55m,7h 40m,,,149178,356
79,2,125966,66400,वानिवडे ग्रा.पं.,Wanivade Gram Panchayat,देवगड,Devgad,09.15-10.05 वेळ बदली शाळेमुळे(भंडारवाडी,28,07:15,08:05,NON,SUN,,,,,,,125966,357
79,3,,L3528,देवगड,Devgad,मिरज,Miraj,,193.7,10:15,15:25,NON,DAILY,,,,,,,423,358
80,,423,L3528,मिरज,Miraj,तुळजापूर,Tuljapur,,245.9,15:40,21:30,NON,DAILY,,245.9,6h 20m,6h 00m,,,423,360
81,1,11245,L3529,तुळजापूर,Tuljapur,मिरज,Miraj,,245.9,07:00,12:50,NON,DAILY,,245.9,6h 20m,6h 20m,,,11245,362
82,,,L3529,मिरज,Miraj,देवगड,Devgad,,193.7,13:10,18:25,NON,DAILY,,193.7,5h 45m,5h 45m,,,11245,363
84,1,1114600,L3453,देवगड,Devgad,खेड,Khed,⁇ãäª.27.09.18 पासून 6.6 किमी बंदर फेरी चालू केली,255.3,16:30,23:00,NON,DAILY,,255.3,6h 25m,6h 25m,,,114600,365
85,,,L3453,खेड,Khed,बोरीवली,Borivali,,247.7,23:15,05:05,NON,DAILY,,247.7,7h 15m,7h 15m,,,114600,367
86,1,1114590,L3454,बोरीवली,Borivali,खेड,Khed,,247.7,17:30,23:45,NON,DAILY,,247.7,7h 50m,7h 50m,,,114590,369
87,1,,L3454,खेड,Khed,देवगड,Devgad,"संगमेश्वर,पाली,लांजा,राजापूर,तरळे(बोरीवली ⁇-ªñÌãØã¡ 17.30 ची फेरी)",255.3,,06:45,NON,DAILY,,255.3,6h 10m,6h 10m,,,114590,371
88,1,,,देवगड,Devgad,चिपळूण,Chiplun,,217.9,15:00,21:30,NON,DAILY,,217.9,7h 15m,7h 15m,,,,373
89,,,,चिपळूण,Chiplun,नाळासोपारा,Nalasopara,,332.9,21:45,04:45,NON,DAILY,,332.9,7h 30m,7h 30m,,,,375
90,1,,,नाळासोपारा,Nalasopara,चिपळूण,Chiplun,,332.9,15:00,22:00,NON,DAILY,,332.9,7h 45m,7h 45m,,,,377
91,,,,चिपळूण,Chiplun,देवगड,Devgad,,217.9,22:15,04:45,NON,DAILY,,217.9,7h 00m,7h 00m,,,,379
,,,66277,तळेबाजार,Talebazar,देवगड,Devgad,,25.8,19:10,20:00,NON,ONLY FRIDAY,,,,,,,,406
,,29856,66325,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,देवगड,Devgad,,28.6,17:50,18:25,NON,ONLY FRIDAY,,,,,,,,407
,,,66317,देवगड,Devgad,वानिवडे,Wanivade,,25,12:35,13:25,,ONLY SAT,,,,,Time change for ONE DAY,,,408
,,,66318,वानिवडे,Wanivade,देवगड,Devgad,,25,13:35,14:25,,ONLY SAT,,,,,,,,409
,,,66278,देवगड,Devgad,तळेबाजार,Talebazar,,25.8,18:00,19:00,NON,SUN OPT ,,,,,,,,410
34,,10756,66326,देवगड,Devgad,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,,28.6,05:15,05:50,NON,ONLY MONDAY,,,,,,,,411
26,4,11367,66282,शिरगांव,Shirgaon,शेवरे,Shevare,3.0 किमी फक्त बुधवार करिता,6,,,BAZAR,WED,,,,,शालेय,,11367,412
26,5,51997,66283,शेवरे,Shevare,शिरगांव,Shirgaon,3.0 किमी फक्त बुधवार करिता,6,,,BAZAR,WED,,,,,शालेय,,51957,413
26,10,,66288,शिरगांव,Shirgaon,पाडगाव,Padgaon,7.1 किमी फक्त बुधवार करिता,7.1,,,BAZAR,WED,,,,,शालेय,,11219,414
26,11,,66289,पाडगाव,Padgaon,शिरगांव,Shirgaon,5.1 किमी फक्त बुधवार करिता,5.1,,,BAZAR,WED,,,,,शालेय,,29942,415
