Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Old_Route_No,Excel_Row_Ref
15,5,51898,66232,नरसाळेवाडी,Narsalewadi,तरळे,Tarle,"उन्डीलतिठा, दारोम",20.5,10:25,11:05,SD,DAILY,,,,,शालेय,SCHOOL,136056,107
15,6,150152,66233,तरळे,Tarle,देवगड,Devgad,"वाघाचीवाडी, उन्डीलतिठा, नाद, ओंबळ,तोरसोळे(,किंजवडे -बंद 7.5 कमी)",60.4,11:35,13:35,OPT,DAILY,विश्रांती 11.05 ते 11.35,,,,बंधनकारक,,150152,108
16,1,125735,66234,देवगड,Devgad,कणकवली,Kankavali,"दाभोळे,दहिबाव,हिंदळे,पोयरे,आचरा,रामगड",79.2,09:30,12:15,OBL,DAILY,,195.90000000000003,10h 10m,7h 40m,बंधनकारक,,125735,109
16,2,125736,66235,कणकवली,Kankavali,देवगड,Devgad,"रामगड,आचरा,पोयरे,हिंदळे,नारिंग्रे,दहिबाव,दाभोळे",81.9,14:45,17:40,OBL,DAILY,विश्रांती 12.15 ते 14.45,,,,बंधनकारक,,125736,110
16,3,10726,66236,देवगड,Devgad,मिठबांव,Mithbav,कट्टा शाळा दहिबाव,34.8,17:50,19:00,OBL,DAILY,,,,,बंधनकारक,,125723,111
17,1,146065,66237,मिठबांव,Mithbav,देवगड,Devgad,"किंजवडे, लिंगडाळतिठा",48,06:00,07:45,SC,DAILY,6 तासांत ड्युटी संपते,134.8,5h 35m,5h 30m,शालेय,SCHOOL,125731,113
17,2,10749,66238,देवगड,Devgad,रेंबवली,Rembavali,"वळीवंडेगांव, शिरगाव, कुवळे",40.4,08:00,09:20,OBL,DAILY,,,,,शालेय/टपाल,SCHOOL,125737,114
17,3,29849,66239,रेंबवली,Rembavali,देवगड,Devgad,"कुवळे, शिरगाव, वळीवंडेगांव चांदोषी",46.4,09:30,11:10,SC,DAILY,,,,,शालेय/टपाल,,125738,115
18,1,125751,66240,देवगड,Devgad,मोर्वे,Morve,"पाटथर, कुपलवाडी, नारीन्ग्रे",27.6,12:00,13:00,SC,DAILY,विश्रांती 14.10 ते 16.15,170.7,8h 55m,6h 50m,,SCHOOL,125751,117
18,2,125752,66241,मोर्वे,Morve,देवगड,Devgad,"नारीन्ग्रे, कुपलवाडी, पाटथर",27.6,13:10,14:10,OBL,DAILY,,,,,,,125752,118
18,3,125439,66242,देवगड,Devgad,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,"दाभोळे, मिठबाव, गजबादेवी",29.6,16:15,17:15,SC,DAILY,,,,,,SCHOOL,128600,119
18,4,128603,66243,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,देवगड,Devgad,"मिठबाव, धनगरवाडी, दहिबाव",32.6,17:25,18:35,SC,DAILY,,,,,,,128603,120
18,5,19174,66244,देवगड,Devgad,कणकवली,Kankavali,नांदगाव,53.3,18:45,20:15,OPT,DAILY,,,,,इतर,,125745,121
19,1,125749,66245,कणकवली,Kankavali,बिडवाडी,Bidwadi,,10,05:55,06:15,OBL,DAILY,,131.3,7h 15m,6h 40m,,,,123
19,2,125750,66246,बिडवाडी,Bidwadi,कणकवली,Kankavali,,10,06:25,06:45,SC,DAILY,,,,,,,,124
19,3,125746,66247,कणकवली,Kankavali,देवगड,Devgad,नांदगाव,53.3,07:00,08:30,SC,DAILY,विश्रांती 11.00 ते 11.30,,,,शालेय,,125746,125
19,4,52016,66248,देवगड,Devgad,पाटथर,Patthar,खाकशी,10,08:45,09:15,OBL,DAILY,,,,,शालेय,SCHOOL,125747,126
19,5,52017,66249,पाटथर,Patthar,देवगड,Devgad,खाकशी,10,09:25,09:55,SC,DAILY,,,,,शालेय,,125748,127
19,6,149057,66250,देवगड,Devgad,मोंड हायस्कूल,Mond Highschool,विरवाडी anbhavanewadi,22,10:05,11:00,OBL,DAILY,,,,,शालेय,,149057,128
19,7,149060,66251,मोंड हायस्कूल,Mond Highschool,देवगड,Devgad,विरवाडी,16,11:30,12:10,SC,DAILY,,,,,शालेय,,149060,129
20,1,125965,66252,देवगड,Devgad,वानिवडे ग्रा.पं.,Wanivade Gram Panchayat,,25,13:15,14:05,SC,SAT-SUN,,125.39999999999999,6h 05m,5h 50m,,,125965,131
20,2,149179,66253,वानिवडे ग्रा.पं.,Wanivade Gram Panchayat,देवगड,Devgad,,25,14:15,15:05,OBL,SAT-SUN,,,,,,,149179,132
20,3,60831,66254,देवगड,Devgad,कातवण,Katvan,"मिठमुंबरी, कुणकेश्वर",21.8,15:30,16:20,SC,DAILY,,,,,शालेय,SCHOOL,125743,133
20,4,61543,66255,कातवण,Katvan,देवगड,Devgad,"कुणकेश्वर, मिठमुंबरी",21.8,16:30,17:20,SC,DAILY,,,,,शालेय,,125744,134
20,5,125741,66256,देवगड,Devgad,निरोम,Nirom,"आरेफाटा, आरे",31.8,17:30,18:40,OBL,DAILY,,,,,बंधनकारक,,125741,135
21,1,127315,66257,निरोम,Nirom,देवगड,Devgad,"आरे, आरेफाटा, कटटाभंडारवाडी",33.8,06:45,08:00,SC,DAILY,6 तासांत ड्युटी संपते,135.3,5h 50m,5h 20m,शालेय,SCHOOL,127315,136
21,2,29923,66258,देवगड,Devgad,कणकवली,Kankavali,"तोरसोळे, आरे, बुधवळे, सांडवे",53.2,08:10,10:00,SC,DAILY,,,,,शालेय/टपाल,,125909,137
21,3,10826,66259,कणकवली,Kankavali,देवगड,Devgad,sandave aare torsole,48.3,10:30,12:10,SC,DAILY,,,,,शालेय/टपाल,,125910,138
22,1,10729,66260,देवगड,Devgad,मोर्वे,Morve,"मिठमुंबरी कुणकेश्वर, कातवण, मिठबाव",38,08:00,09:30,OBL-TPL,DAILY,विश्रांती 11.00 ते 13.45,174.4,11h 20m,6h 30m,शालेय/टपाल,SCHOOL,128559,140
22,2,29840,66261,मोर्वे,Morve,देवगड,Devgad,"हिंदळे, मिठबाव, दाभोळे",31,09:40,11:00,SCL-TPL,DAILY,,,,,शालेय/टपाल,SCHOOL,125975,141
22,3,60831,66262,देवगड,Devgad,कातवण,Katvan,मिठमुंबरी,24,13:45,14:35,SCL,DAILY,,,,,शालेय,SCHOOL,125587,142
22,4,61543,66263,कातवण,Katvan,देवगड,Devgad,मिठमुंबरी,24,14:45,15:35,OBL,DAILY,,,,,शालेय,,125588,143
22,5,152533,66264,देवगड,Devgad,मुणगे मोर्वे,Munage Morve,"पाटथर, हिंदळे,(आडबंदर बंद केल्याने 6 किमी कमी), पोयरे, आचरा",57.4,16:40,18:40,OBL,DAILY,,,,,बंधनकारक,,122533,144
23,1,152534,66265,मोर्वे मुणगे,Morve Munage,मालवण,Malvan,"(आडबंदर बंद केल्याने 6 किमी कमी हडी, कांदळगाव",39,05:45,07:05,SC,DAILY,,125.49999999999999,5h 40m,5h 15m,,,125923,146
23,2,125931,66266,मालवण,Malvan,देवगड,Devgad,"आचरा, पोयरे, गादववाडी, (आडबंदर बंद केल्याने 6 किमी कमी, लिंगडाळगाव, वरेरी",73.3,07:30,10:00,SC-TPL,DAILY,6 तासांत ड्युटी संपते,,,,बंधनकारक,,125931,147
23,3,10707,66267,देवगड,Devgad,कट्टा,Katta,जामसंडे,6.6,10:20,10:35,SC,SAT-SUN,,,,,,,126377,148
23,4,29815,66268,कट्टा,Katta,देवगड,Devgad,जामसंडे,6.6,10:45,11:00,SC,SAT-SUN,,,,,,SCHOOL,126378,149
24,1,125754,66269,देवगड,Devgad,गणेशनगर,Ganeshnagar,दाभोळे(गणेशनगर पर्यंत विस्तारित केल्याने 1.5 किमी वाढ),12.2,13:10,13:40,SC,SAT-SUN,,156.8,7h 20m,6h 50m,शालेय,,125754,151
24,2,125755,66270,गणेशनगर,Ganeshnagar,देवगड,Devgad,दाभोळे(गणेशनगर पर्यंत विस्तारित केल्याने 1.5 किमी वाढ),12.2,13:50,14:20,OBL,SAT-SUN,,,,,शालेय,,125755,152
24,3,19174,66271,देवगड,Devgad,कणकवली,Kankavali,"शिरगाव, नांदगाव",53.3,14:30,16:00,NON,DAILY,,,,,इतर,,125745,153
24,4,125746,66272,कणकवली,Kankavali,देवगड,Devgad,"नांदगाव, शिरगाव",53.3,16:25,17:55,NON,DAILY,,,,,इतर,,125746,154
24,5,10755,66273,देवगड,Devgad,तळेबाजार,Talebazar,"कालवी,हनुमान मंदिर टेंबवली, ताम्हाणेतर ,",25.8,18:10,19:00,OBL,SAT,6 तासांत ड्युटी संपते,,,,शालेय,,125810,155
25,1,29854,66274,तळेबाजार,Talebazar,देवगड,Devgad,"ताम्हणेतर, तेलीवाडी, टेंबवली, कालवी",31.7,05:45,07:00,SC,SUN-MON,6 तासांत ड्युटी संपते,138.3,6h 40m,4h 50m,,SCHOOL,125813,157
25,2,19174,66275,देवगड,Devgad,कणकवली,Kankavali,नांदगाव तिठा,53.3,08:40,10:10,NON,DAILY,,,,,इतर,,125745,158
25,3,125746,66276,कणकवली,Kankavali,देवगड,Devgad,नांदगाव तिठा,53.3,10:30,12:00,NON,DAILY,,,,,इतर,,125746,159
25,,,66277,तळेबाजार,Talebazar,देवगड,Devgad,,25.8,19:10,20:00,NON,ONLY FRIDAY,,,,,,,,160
25,,,66278,देवगड,Devgad,तळेबाजार,Talebazar,,25.8,18:00,19:00,NON,SUN OPT ,,,,,,,,161
