Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Bus_Class,Excel_Row_Ref
,1,11178,64224,सावंतवाडी,Sawantwadi,शिरशिंगे,Shirshinge Gothavewadi,SANGELI  KALAMBIST,30.2,13:00,14:30,ST,,,,,,,,ORD,179
,2,18649,64225,शिरशिंगे,Shirshinge Gothavewadi,सावंतवाडी,Sawantwadi,KALAMBIST SANGELI,30.2,14:40,16:10,ST,,,,,,,,ORD,180
,3,45352,64361,सावंतवाडी,Sawantwadi,पणजी,Panjim,BANDA PATRADEVI MHAPSA,61.7,16:30,18:30,NOBL,,,,,,,,ORD,181
,4,11082,64362,पणजी,Panjim,सावंतवाडी,Sawantwadi,MHAPSA PATRADEVI BANDA,61.7,19:15,21:00,NOBL,,,,,,,,ORD,182
34,1,11184,64080,सावंतवाडी,Sawantwadi,,Tata Metalic,RAILSTATION MALEWAD SHIRODA,32.8,06:50,07:50,ST,,,,,,,,ORD,184
34,2,18774,64081,,Tata Metalic,सावंतवाडी,Sawantwadi,SHIRODA MALEWAD RAILSTATION,32.8,08:30,09:20,ST,,,,,,,,ORD,185
,1,11134,64072,सावंतवाडी,Sawantwadi,हेवाळे,Hewale,BANDA DODAMARG BHEDSHI TILARI,63.2,11:30,14:00,ST,,,,,,,,ORD,187
,2,18295,64073,हेवाळे,Hewale,सावंतवाडी,Sawantwadi,TILARI BHEDSHI DODAMARG KALANE BANDA,63.2,14:15,16:40,ST,,,,,,,,ORD,188
,3,11162,64300,सावंतवाडी,Sawantwadi,पाळये,Palye,BANDA DODAMARG BHEDSHI TILARI,57.1,17:15,19:15,ST,,,,,,,,ORD,189
35,1,18451,64085,वेळवेवाडी,Velvewadi,सावंतवाडी,Sawantwadi,aros SATARDA AROS GAOTHAN RAILSTATION MALGAON,39.3,05:45,07:15,ST,,,,,,,,ORD,191
35,2,11164,64086,सावंतवाडी,Sawantwadi,पारपोली,Parpoli,DANOLI DEWSU,21.7,07:30,08:20,ST,,,,,,,,ORD,192
35,3,18615,64087,पारपोली,Parpoli,सावंतवाडी,Sawantwadi,DEWSU DANOLI,21.7,08:20,09:20,ST,,,,,,,,ORD,193
